	q	p	Shipp_wt	Shipp_mt	Staudt_wt	Staudt_mt	q_os	p_os	Shipp_os_wt	Shipp_os_mt	Staudt_os_wt	Staudt_os_mt	q_pfs	p_pfs	Shipp_pfs_wt	Shipp_pfs_mt	Staudt_pfs_wt	Staudt_pfs_mt	q_pfs_ipi	p_pfs_ipi	Shipp_pfs_ipi_wt	Shipp_pfs_ipi_mt	Staudt_pfs_ipi_wt	Staudt_pfs_ipi_mt	q_test_train	p_test_train	Train_wt	Train_mt	Test_wt	Test_mt
TMEM30A	0.8977879309183784	0.2598859800026885	30	11	81	18	1.0	0.4402223803157751	21	10	36	11	1.0	1.0000000000000002	6	2	14	4	1.0	0.9999999999999999	6	2	12	3	1.0	1.0	92	0	19	0
IPI_Low_01	0.9064793458789119	0.3086502174225112	32	9	68	31	1.0	0.6256795433365528	22	9	30	17	1.0	0.6672852090701061	6	2	11	7	1.0	0.3997846278099341	6	2	8	7	1.0	0.8119920923620886	82	32	18	8
ZEB2	0.9064793458789119	0.31011135516910143	37	4	82	17	1.0	0.34410315774167116	28	3	38	9	1.0	0.5292307692307692	8	0	15	3	1.0	0.5256916996047432	8	0	13	2	1.0	0.48483945264869266	96	2	23	1
MYD88.OTHER	0.9202107762606437	0.3390250228328687	31	10	83	16	1.0	0.5906252311479132	22	9	37	10	1.0	1.0	6	2	13	5	1.0	1.0	6	2	11	4	1.0	1.0	93	0	21	0
BCL6	0.9719137869673765	0.43020113619788697	37	4	83	16	1.0	0.29970837440195774	29	2	39	8	1.0	1.0	7	1	16	2	1.0	1.0	7	1	13	2	1.0	1.0	95	0	25	0
SMG7	0.9719137869673765	0.43689865653588317	40	1	92	7	1.0	0.9999999999999999	30	1	45	2	1.0	1.0	8	0	18	0	1.0	1.0	8	0	15	0	1.0	1.0	106	1	26	0
FAS	0.9719137869673765	0.48667331584633544	31	10	81	18	1.0	0.39791464458559017	23	8	39	8	1.0	0.6352934022499241	5	3	14	4	1.0	0.6570197873199624	5	3	11	4	1.0	1.0	91	0	21	0
EBF1	0.9719137869673765	0.48667331584633544	31	10	81	18	1.0	0.578474040759037	23	8	38	9	1.0	0.6352934022499241	5	3	14	4	1.0	0.6213854795090494	5	3	12	3	1.0	0.30678466076696165	94	1	18	1
PLOIDY	0.9719137869673765	0.5014388489208631	40	1	98	1	1.0	0.9999999999999999	30	1	46	1	1.0	1.0	8	0	17	1	1.0	1.0	8	0	14	1	1.0	0.3380267214799589	113	1	25	1
IKZF3	0.9719137869673765	0.5512157609199623	36	5	90	9	1.0	0.38092774934880197	28	3	45	2	1.0	0.5292307692307693	7	1	17	1	1.0	0.9999999999999999	7	1	14	1	1.0	1.0	101	1	25	0
NFKBIE	0.9719137869673765	0.5530380668003166	38	3	87	12	1.0	1.0	29	2	43	4	1.0	0.3076923076923076	7	1	18	0	1.0	0.3478260869565217	7	1	15	0	1.0	1.0	102	1	23	0
DTX1	0.9719137869673765	0.5633459171598513	28	13	61	38	1.0	0.24375613539142682	22	9	27	20	1.0	1.0	4	4	8	10	1.0	1.0	4	4	8	7	1.0	0.6526704418029223	72	6	17	2
BCL7A	0.9719137869673765	0.5882636079013068	37	4	84	15	1.0	1.0	28	3	42	5	1.0	0.5292307692307692	8	0	15	3	1.0	0.5256916996047432	8	0	12	3	1.0	0.5828765268086314	96	4	25	0
IPI_IntermediateLow_2	1.0	0.6317230283205285	35	6	80	19	1.0	0.1644870869453693	27	4	34	13	1.0	0.13165095773791435	8	0	12	6	1.0	0.058179044449067276	8	0	9	6	1.0	1.0	93	21	22	4
B2M	1.0	0.6621370483012928	30	11	77	22	1.0	0.578474040759037	23	8	38	9	1.0	0.6278504104591062	6	2	15	3	1.0	0.5889328063241106	6	2	13	2	1.0	1.0	90	0	17	0
RHOA	1.0	0.7308101460661754	37	4	92	7	1.0	0.6428429323166165	30	1	43	4	1.0	1.0	8	0	16	2	1.0	0.5256916996047432	8	0	13	2	1.0	1.0	104	1	25	0
POU2F2	1.0	0.7576333179128478	38	3	88	11	1.0	1.0	29	2	43	4	1.0	1.0	7	1	16	2	1.0	1.0	7	1	13	2	1.0	1.0	102	0	24	0
TUBGCP5	1.0	0.7576333179128478	38	3	88	11	1.0	1.0	29	2	43	4	1.0	0.27678929765886295	8	0	14	4	1.0	0.5256916996047432	8	0	12	3	1.0	0.5791636147225783	102	3	24	1
CD58	1.0	0.8163605113924988	33	8	81	18	1.0	0.22697976398103975	23	8	41	6	1.0	0.330130738826391	5	3	15	3	1.0	0.6213854795090494	5	3	12	3	1.0	1.0	90	0	24	0
COO_GCB	1.0	0.8166980244732833	29	8	79	20	1.0	0.7721364167564209	24	5	37	10	1.0	0.5292307692307693	7	1	17	1	1.0	0.3478260869565217	7	1	15	0	1.0	0.0474115951850706	93	19	15	9
NOTCH2	1.0	0.8343969510787818	31	10	72	27	1.0	0.9999999999999999	22	9	34	13	1.0	0.6672852090701061	6	2	11	7	1.0	0.6570197873199625	6	2	9	6	1.0	1.0	82	0	21	0
CD70	1.0	0.8453723767991415	28	13	65	34	1.0	0.4764449544121467	21	10	27	20	1.0	0.41984605783232787	6	2	10	8	1.0	0.3997846278099341	6	2	8	7	1.0	1.0	76	0	17	0
CXCR4	1.0	0.9999999999999999	39	2	93	6	1.0	0.9999999999999999	30	1	46	1	1.0	0.3076923076923076	7	1	18	0	1.0	0.3478260869565217	7	1	15	0	1.0	1.0	107	0	25	0
FADD	1.0	0.9999999999999999	39	2	94	5	1.0	1.0	29	2	43	4	1.0	1.0	8	0	16	2	1.0	1.0	8	0	14	1	1.0	1.0	107	0	26	0
SV.MYC_SV.BCL2	1.0	1.0	41	0	99	0	1.0	1.0	31	0	47	0	1.0	1.0	8	0	18	0	1.0	1.0	8	0	15	0	1.0	1.0	114	0	26	0
UBE2A	1.0	1.0	33	8	79	20	1.0	1.0	24	7	35	12	1.0	0.6278504104591062	7	1	13	5	1.0	0.36897579918174894	7	1	10	5	1.0	1.0	93	0	19	0
BCL10	1.0	1.0	31	10	73	26	1.0	1.0	23	8	35	12	1.0	1.0	7	1	14	4	1.0	0.6213854795090493	7	1	11	4	1.0	1.0	86	0	18	0
SPEN	1.0	1.0	33	8	79	20	1.0	0.5688781781606718	24	7	39	8	1.0	1.0000000000000002	6	2	14	4	1.0	0.9999999999999999	6	2	12	3	1.0	0.20256988413105964	89	2	23	2
