	q	p	Shipp_wt	Shipp_mt	Staudt_wt	Staudt_mt	q_os	p_os	Shipp_os_wt	Shipp_os_mt	Staudt_os_wt	Staudt_os_mt	q_pfs	p_pfs	Shipp_pfs_wt	Shipp_pfs_mt	Staudt_pfs_wt	Staudt_pfs_mt	q_pfs_ipi	p_pfs_ipi	Shipp_pfs_ipi_wt	Shipp_pfs_ipi_mt	Staudt_pfs_ipi_wt	Staudt_pfs_ipi_mt	q_test_train	p_test_train	Train_wt	Train_mt	Test_wt	Test_mt
PIM2	0.41177293884368593	0.11389464265889186	59	5	96	20	0.8453238058742422	0.2338129675822372	54	5	38	8	0.9276940453517835	0.40230077767317085	29	2	23	4	0.9646685120271604	0.6381676037613884	29	2	19	3	1.0	0.9999999999999999	123	7	32	1
PIM1	0.5033192531860954	0.1499248839277731	28	36	38	78	1.0	1.0	25	34	20	26	1.0	0.7851706220182139	10	21	10	17	0.9646685120271604	0.7765258544071345	10	21	8	14	1.0	0.4110791471382781	49	13	17	7
HLA.C	0.6135585569210983	0.20191211247806815	58	6	111	5	0.9055644423229656	0.46338288685434026	54	5	44	2	1.0	1.0	28	3	25	2	1.0	1.0	28	3	20	2	1.0	1.0	134	0	35	0
X18P.AMP	0.6135585569210983	0.20887099810079943	34	30	73	43	0.8453238058742422	0.23350691555873776	31	28	30	16	0.4537185461889007	0.06434602457519108	11	20	17	10	0.25094770601892935	0.02669656447009887	11	20	15	7	1.0	0.23569383434517147	89	48	18	16
PRDM1	0.6967361590028486	0.25201095112868993	54	10	88	28	0.9055644423229656	0.4628746237676357	49	10	35	11	0.9585658538941443	0.48948043603105235	27	4	21	6	0.8981387335018568	0.28664002133037986	27	4	16	6	1.0	1.0	112	0	30	0
X18Q.AMP	0.8015248245445591	0.32274555814718126	18	46	42	74	0.9444650924179699	0.6668155994232134	16	43	15	31	1.0	1.0	7	24	7	20	0.9646685120271604	0.7530979073647781	7	24	6	16	1.0	0.40183570131971824	50	61	10	18
HLA.B	0.8015248245445591	0.33063132464290174	49	15	96	20	0.8453238058742422	0.2135790097812656	45	14	40	6	0.9276940453517835	0.34837229277816917	23	8	23	4	0.903930112074113	0.3269534447927643	23	8	19	3	1.0	1.0	119	0	26	0
X3P.AMP	0.8015248245445591	0.34107439342321666	42	22	67	49	0.9444650924179699	0.6832300668555528	37	22	31	15	0.9276940453517835	0.43423976590934543	16	15	17	10	0.9646685120271604	0.7799447544049382	16	15	13	9	1.0	1.0	87	50	22	13
IGLL5	0.8287787890806724	0.3703054163977472	51	13	85	31	0.9055644423229656	0.28582847864756855	47	12	41	5	1.0	0.7556090914465896	24	7	22	5	0.9267718982509862	0.4943186105431057	24	7	19	3	1.0	0.3491741326771082	104	7	32	0
MYD88	0.9382059843626471	0.43916024799953696	35	29	56	60	0.9055644423229656	0.5587525282418299	32	27	22	24	0.7859892307808617	0.18751551775289757	19	12	11	16	0.8981387335018568	0.2780605129528641	19	12	10	12	1.0	1.0	74	0	17	0
X1Q32.1.AMP	0.9908171600433145	0.4848679719360901	54	10	103	13	1.0	1.0	50	9	39	7	0.9739420693798874	0.5180542922233443	24	7	23	4	0.9646685120271604	0.7456275363568408	24	7	18	4	1.0	0.7510248215106186	126	13	31	4
CD79B	0.9955110094414149	0.5220117397393335	37	27	74	42	0.9055644423229656	0.5515644869045935	35	24	30	16	0.9276940453517835	0.42492499673100664	20	11	14	13	0.9267718982509862	0.5718379797718851	20	11	12	10	1.0	1.0	91	2	20	0
BCL11A	0.9955110094414149	0.5786216137911225	60	4	105	11	1.0	1.0	55	4	43	3	1.0	1.0	28	3	25	2	1.0	1.0	28	3	20	2	1.0	0.584272675153009	131	4	34	0
TMSB4X	0.9955110094414149	0.5899855542655307	50	14	85	31	1.0	0.9999999999999999	45	14	36	10	1.0	0.7645443321743326	22	9	21	6	0.9267718982509862	0.5199125976537353	22	9	18	4	1.0	0.4681426997965164	110	2	25	1
ETS1	0.9955110094414149	0.6047476282243773	57	7	106	10	0.9055644423229656	0.4610598690485148	53	6	44	2	0.7859892307808617	0.20067810147596468	26	5	26	1	0.4017651327584733	0.06838555451208056	26	5	22	0	1.0	0.36097560975609755	131	1	32	1
X6P21.33.DEL	0.9955110094414149	0.6242473312178514	44	20	75	41	0.7859812795413517	0.150507053529195	42	17	26	20	0.9276940453517835	0.27845161144255154	22	9	15	12	0.5622557905322387	0.1555175590833852	22	9	11	11	1.0	0.6789649576588394	96	47	23	9
MYD88.L265P	0.9955110094414149	0.6323933521200803	41	23	69	47	0.9055644423229656	0.32147125689604883	38	21	25	21	0.9276940453517835	0.2846280442103282	21	10	14	13	0.9267718982509862	0.39502837821754705	21	10	12	10	1.0	1.0	91	0	19	0
BTG1	0.9955110094414149	0.6354325592179244	41	23	70	46	0.9444650924179699	0.6777407366250406	38	21	32	14	0.7688128966491359	0.1633522897114691	24	7	16	11	0.9267718982509862	0.5343152197241234	24	7	15	7	1.0	0.24670373208943933	90	23	21	2
X6Q21.DEL	1.0	0.6984098264601312	50	14	94	22	1.0	0.8128556111341706	46	13	37	9	1.0	1.0	25	6	22	5	1.0	1.0	25	6	18	4	1.0	1.0	115	26	29	6
LYN	1.0	0.7453305560632337	60	4	110	6	1.0	1.0	55	4	43	3	1.0	0.5931099299974074	30	1	25	2	0.9267718982509862	0.5633057286775377	30	1	20	2	1.0	1.0	136	0	34	0
COO_UNC	1.0	0.7682453975089663	43	5	106	10	0.9929333490213839	0.7394184513989028	41	4	40	6	1.0	0.9999999999999999	21	2	24	3	0.9646685120271604	0.6651540934013992	21	2	19	3	1.0	0.3072747073303748	124	11	25	4
ZC3H12A	1.0	0.7908530050694015	59	5	104	12	0.9055644423229656	0.5286567341329981	54	5	40	6	1.0	1.0	27	4	24	3	1.0	1.0	27	4	19	3	1.0	0.18902439024390233	133	0	30	1
COO_ABC	1.0	0.8034703624994473	7	41	15	101	0.9055644423229656	0.4100043762914122	6	39	10	36	1.0	0.6740121580547112	2	21	4	23	0.9267718982509862	0.4140196634524485	2	21	4	18	1.0	0.5487788839912277	17	118	5	24
IPI_IntermediateLow_2	1.0	0.8423643603840792	53	11	94	22	0.9055644423229656	0.47628937618959905	48	11	34	12	0.9276940453517835	0.3443120259788084	26	5	19	8	0.5368636538505054	0.11422630932989476	26	5	14	8	1.0	1.0	118	27	29	6
X19Q.AMP	1.0	0.8603857711648145	46	18	86	30	1.0	0.9999999999999999	42	17	32	14	1.0	1.0	23	8	20	7	0.903930112074113	0.3269534447927643	23	8	19	3	1.0	0.8233985745881903	107	33	25	9
IPI_Low_01	1.0	0.8667120187210199	45	19	79	37	1.0	0.8363127551111318	40	19	30	16	0.9276940453517835	0.3443120259788084	26	5	19	8	0.5368636538505054	0.11422630932989476	26	5	14	8	1.0	0.5434550757972019	98	47	26	9
COO_GCB	1.0	1.0	46	2	111	5	0.9444650924179699	0.6768438845153297	43	2	42	4	1.0	1.0	23	0	26	1	0.9267718982509862	0.48888888888888893	23	0	21	1	1.0	1.0	129	6	28	1
X19Q13.42.AMP	1.0	1.0	47	17	85	31	1.0	1.0	44	15	34	12	1.0	0.7734387446294181	21	10	20	7	0.9267718982509862	0.5440928239623842	21	10	17	5	1.0	0.08780407891156067	110	23	22	10
X3Q.AMP	1.0	1.0	31	33	56	60	1.0	0.8436433050154315	26	33	22	24	0.9276940453517835	0.42492499673100664	11	20	13	14	0.9267718982509862	0.3975538583651899	11	20	11	11	1.0	0.32471962834918844	73	60	14	18
SV.MYC_SV.BCL2	1.0	1.0	64	0	116	0	1.0	1.0	59	0	46	0	1.0	1.0	31	0	27	0	1.0	1.0	31	0	22	0	1.0	1.0	145	0	35	0
TBL1XR1	1.0	1.0	49	15	88	28	0.9055644423229656	0.45712411559109184	46	13	39	7	1.0	0.7389460749543115	26	5	21	6	0.9646685120271604	0.7237874763470745	26	5	17	5	1.0	1.0	108	1	29	0
X18Q22.2.AMP	1.0	1.0	59	5	107	9	0.9055644423229656	0.46338288685434026	54	5	44	2	1.0	0.6153039338157305	28	3	26	1	0.9646685120271604	0.6331768120891317	28	3	21	1	1.0	0.4089993091982881	135	7	31	3
ETV6	1.0	1.0	49	15	89	27	0.9055644423229656	0.4939088716641337	47	12	34	12	1.0	0.7533321575159676	25	6	20	7	1.0	1.0	25	6	18	4	1.0	1.0	110	2	28	0
SF3B1	1.0	1.0	62	2	111	5	0.9055644423229656	0.5029304029304029	57	2	46	0	1.0	1.0	30	1	27	0	1.0	1.0	30	1	22	0	1.0	1.0	139	1	34	0
GRHPR	1.0	1.0	54	10	98	18	1.0	0.7867630586980473	50	9	40	6	1.0	0.9999999999999999	27	4	23	4	1.0	1.0	27	4	20	2	1.0	0.5783628136569311	123	3	29	1
