0	cluster	q	p	overall_frequency	C1_nf	C2_nf	C3_nf	C4_nf	C5_nf	C1_f	C2_f	C3_f	C4_f	C5_f	C1_mut	C1_wt	C2_mut	C2_wt	C3_mut	C3_wt	C4_mut	C4_wt	C5_mut	C5_wt	C1_sum	C2_sum	C3_sum	C4_sum	C5_sum
DTX1	C1	0.0004550897887247543	8.99991000089999e-05	0.19327731092436978	0.4202898550724637	0.18840579710144925	0.10144927536231882	0.18840579710144925	0.10144927536231882	0.08123249299719888	0.036414565826330535	0.0196078431372549	0.036414565826330535	0.0196078431372549	29	59	13	65	7	55	13	29	7	80	53	23	12	22	11
BCL6	C1	0.0012336384572662208	0.0002899971000289997	0.0896358543417367	0.40625	0.15625	0.25	0.1875	0.0	0.036414565826330535	0.014005602240896359	0.022408963585434174	0.01680672268907563	0.0	13	75	5	73	8	54	6	36	0	87	26	9	16	12	0
B2M	C1	0.0015074849251507485	0.0003599964000359996	0.12885154061624648	0.39130434782608703	0.02173913043478261	0.13043478260869565	0.19565217391304351	0.2608695652173913	0.05042016806722689	0.0028011204481792717	0.01680672268907563	0.025210084033613446	0.03361344537815126	18	70	1	77	6	56	9	33	12	75	36	2	12	18	24
HIST1H1E	C1	0.0016904446340151983	0.0004099959000409996	0.22408963585434175	0.3125	0.15	0.1625	0.2375	0.1375	0.0700280112044818	0.03361344537815126	0.036414565826330535	0.05322128851540616	0.03081232492997199	25	63	12	66	13	49	19	23	11	76	47	22	23	36	21
CXCR5	C1	0.003032601252934839	0.0008599914000859991	0.0392156862745098	0.6428571428571429	0.0	0.0	0.21428571428571427	0.14285714285714285	0.025210084033613446	0.0	0.0	0.008403361344537815	0.0056022408963585435	9	79	0	78	0	62	3	39	2	85	17	0	0	5	4
GNAI2	C1	0.0036763734926753295	0.0010699893001069989	0.0784313725490196	0.3928571428571429	0.07142857142857142	0.3928571428571429	0.07142857142857142	0.07142857142857142	0.03081232492997199	0.0056022408963585435	0.03081232492997199	0.0056022408963585435	0.0056022408963585435	11	77	2	76	11	51	2	40	2	85	22	3	21	4	4
SPEN	C1	0.02083195662888732	0.0075399246007539925	0.09803921568627452	0.5142857142857142	0.14285714285714285	0.11428571428571427	0.11428571428571427	0.11428571428571427	0.05042016806722689	0.014005602240896359	0.011204481792717087	0.011204481792717087	0.011204481792717087	18	70	5	73	4	58	4	38	4	83	35	9	6	7	8
CXCR4	C1	0.021895381046189533	0.008129918700812993	0.04201680672268907	0.4666666666666667	0.06666666666666668	0.06666666666666668	0.33333333333333337	0.06666666666666668	0.0196078431372549	0.0028011204481792717	0.0028011204481792717	0.014005602240896359	0.0028011204481792717	7	81	1	77	1	61	5	37	1	86	14	2	2	10	2
EBF1	C1	0.022421557962638197	0.008449915500844991	0.11204481792717087	0.35	0.049999999999999996	0.225	0.19999999999999998	0.175	0.0392156862745098	0.0056022408963585435	0.025210084033613446	0.022408963585434174	0.0196078431372549	14	74	2	76	9	53	8	34	7	80	28	3	17	15	14
YY1	C1	0.02401466181416617	0.00913990860091399	0.0392156862745098	0.5714285714285714	0.14285714285714285	0.07142857142857142	0.21428571428571427	0.0	0.022408963585434174	0.0056022408963585435	0.0028011204481792717	0.008403361344537815	0.0	8	80	2	76	1	61	3	39	0	87	15	4	2	6	0
FAS	C1	0.025368678352051432	0.00974990250097499	0.1092436974789916	0.33333333333333337	0.07692307692307691	0.33333333333333337	0.10256410256410256	0.15384615384615383	0.036414565826330535	0.008403361344537815	0.036414565826330535	0.011204481792717087	0.01680672268907563	13	75	3	75	13	49	4	38	6	81	26	6	26	8	12
HIST1H1C	C1	0.026391355134067707	0.01033989660103399	0.11764705882352941	0.2857142857142857	0.14285714285714285	0.2380952380952381	0.2380952380952381	0.09523809523809525	0.03361344537815126	0.01680672268907563	0.028011204481792718	0.028011204481792718	0.011204481792717087	12	76	6	72	10	52	10	32	4	83	21	11	18	20	6
FADD	C1	0.026850297534760502	0.01061989380106199	0.028011204481792718	0.6	0.0	0.3	0.09999999999999999	0.0	0.01680672268907563	0.0	0.008403361344537815	0.0028011204481792717	0.0	6	82	0	78	3	59	1	41	0	87	12	0	6	2	0
SMG7	C1	0.027576172836402478	0.011009889901100989	0.0392156862745098	0.5714285714285714	0.07142857142857142	0.21428571428571427	0.14285714285714285	0.0	0.022408963585434174	0.0028011204481792717	0.008403361344537815	0.0056022408963585435	0.0	8	80	1	77	3	59	2	40	0	87	15	2	6	3	0
X5P.AMP	C1	0.03626414186308587	0.015019849801501985	0.14565826330532214	0.34615384615384615	0.07692307692307691	0.15384615384615383	0.07692307692307691	0.34615384615384615	0.05042016806722689	0.011204481792717087	0.022408963585434174	0.011204481792717087	0.05042016806722689	18	70	4	74	8	54	4	38	18	69	18	4	8	6	21
HIST1H2AC	C1	0.03848347481437467	0.016369836301636985	0.11764705882352942	0.35714285714285715	0.16666666666666666	0.11904761904761904	0.23809523809523808	0.11904761904761904	0.04201680672268908	0.0196078431372549	0.014005602240896359	0.028011204481792718	0.014005602240896359	15	73	7	71	5	57	10	32	5	82	26	13	7	15	8
TMEM30A	C1	0.04068476556613745	0.017609823901760982	0.08403361344537814	0.5000000000000001	0.23333333333333334	0.1	0.06666666666666668	0.1	0.04201680672268908	0.0196078431372549	0.008403361344537815	0.0056022408963585435	0.008403361344537815	15	73	7	71	3	59	2	40	3	84	30	14	6	4	6
ETS1	C1	0.05041007441165257	0.022759772402275977	0.08403361344537814	0.4	0.30000000000000004	0.2	0.03333333333333334	0.06666666666666668	0.03361344537815126	0.025210084033613446	0.01680672268907563	0.0028011204481792717	0.0056022408963585435	12	76	9	69	6	56	1	41	2	85	24	17	12	2	4
CCDC27	C1	0.0530942231561291	0.024169758302416976	0.028011204481792718	0.7	0.19999999999999998	0.0	0.0	0.09999999999999999	0.0196078431372549	0.0056022408963585435	0.0	0.0	0.0028011204481792717	7	81	2	76	0	62	0	42	1	86	13	4	0	0	2
MYD88.OTHER	C1	0.06359040409595904	0.02960970390296097	0.12324929971988796	0.40909090909090906	0.25	0.11363636363636363	0.022727272727272728	0.20454545454545453	0.05042016806722689	0.03081232492997199	0.014005602240896359	0.0028011204481792717	0.025210084033613446	18	70	11	67	5	57	1	41	9	78	36	21	10	2	18
NFKBIE	C1	0.06359040409595904	0.02965970340296597	0.058823529411764705	0.4761904761904762	0.1904761904761905	0.09523809523809525	0.1904761904761905	0.04761904761904762	0.028011204481792718	0.011204481792717087	0.0056022408963585435	0.011204481792717087	0.0028011204481792717	10	78	4	74	2	60	4	38	1	86	19	7	4	8	2
X3Q28.DEL	C1	0.07958264167358325	0.03800961990380096	0.06722689075630252	0.4166666666666667	0.08333333333333334	0.04166666666666667	0.20833333333333334	0.25	0.028011204481792718	0.0056022408963585435	0.0028011204481792717	0.014005602240896359	0.01680672268907563	10	78	2	76	1	61	5	37	6	81	11	2	1	5	6
FOXO1	C1	0.0868271016537955	0.04308956910430896	0.1092436974789916	0.25641025641025644	0.15384615384615383	0.20512820512820512	0.25641025641025644	0.12820512820512822	0.028011204481792718	0.01680672268907563	0.022408963585434174	0.028011204481792718	0.014005602240896359	10	78	6	72	8	54	10	32	5	82	19	12	15	19	9
X5Q.AMP	C1	0.09509904900950991	0.047549524504754956	0.11204481792717089	0.37499999999999994	0.07499999999999998	0.12499999999999999	0.09999999999999998	0.32499999999999996	0.04201680672268908	0.008403361344537815	0.014005602240896359	0.011204481792717087	0.036414565826330535	15	73	3	75	5	57	4	38	13	74	15	3	5	4	13
X3P21.31.DEL	C1	0.10757333603134556	0.05458945410545894	0.13445378151260504	0.33333333333333337	0.14583333333333334	0.20833333333333334	0.020833333333333336	0.2916666666666667	0.04481792717086835	0.0196078431372549	0.028011204481792718	0.0028011204481792717	0.0392156862745098	16	72	7	71	10	52	1	41	14	73	16	7	10	1	14
CCND3	C1	0.10995658159360434	0.056619433805661944	0.10364145658263305	0.43243243243243246	0.1891891891891892	0.05405405405405406	0.10810810810810811	0.21621621621621623	0.04481792717086835	0.0196078431372549	0.0056022408963585435	0.011204481792717087	0.022408963585434174	16	72	7	71	2	60	4	38	8	79	32	14	4	8	16
LYN	C1	0.12619010500542477	0.06544934550654494	0.03361344537815126	0.5833333333333334	0.25	0.0	0.0	0.16666666666666669	0.0196078431372549	0.008403361344537815	0.0	0.0	0.0056022408963585435	7	81	3	75	0	62	0	42	2	85	14	6	0	0	3
ZNF423	C1	0.13272519757071932	0.06982930170698293	0.04481792717086835	0.3125	0.0	0.125	0.25	0.3125	0.014005602240896359	0.0	0.0056022408963585435	0.011204481792717087	0.014005602240896359	5	83	0	78	2	60	4	38	5	82	9	0	3	6	8
ARID5B	C1	0.13436577962987492	0.07171928280717192	0.06722689075630253	0.29166666666666663	0.29166666666666663	0.16666666666666663	0.20833333333333331	0.04166666666666666	0.0196078431372549	0.0196078431372549	0.011204481792717087	0.014005602240896359	0.0028011204481792717	7	81	7	71	4	58	5	37	1	86	11	13	6	8	1
BRAF	C1	0.13436577962987492	0.07319926800731992	0.05042016806722689	0.3333333333333333	0.1111111111111111	0.0	0.2222222222222222	0.3333333333333333	0.01680672268907563	0.0056022408963585435	0.0	0.011204481792717087	0.01680672268907563	6	82	2	76	0	62	4	38	6	81	12	4	0	7	10
ESX1	C1	0.1542873161872408	0.08577914220857791	0.04481792717086835	0.3125	0.0625	0.1875	0.3125	0.125	0.014005602240896359	0.0028011204481792717	0.008403361344537815	0.014005602240896359	0.0056022408963585435	5	83	1	77	3	59	5	37	2	85	9	2	6	10	4
IRF8	C1	0.157689623103769	0.08825911740882592	0.09523809523809525	0.3529411764705882	0.1176470588235294	0.29411764705882354	0.08823529411764705	0.14705882352941177	0.03361344537815126	0.011204481792717087	0.028011204481792718	0.008403361344537815	0.014005602240896359	12	76	4	74	10	52	3	39	5	82	24	7	18	5	10
DAZAP1	C1	0.1599642281722878	0.09012909870901291	0.058823529411764705	0.380952380952381	0.3333333333333333	0.04761904761904762	0.0	0.2380952380952381	0.022408963585434174	0.0196078431372549	0.0028011204481792717	0.0	0.014005602240896359	8	80	7	71	1	61	0	42	5	82	16	13	1	0	9
HIST1H2AG	C1	0.17336958209365277	0.0983290167098329	0.07002801120448178	0.32000000000000006	0.24000000000000005	0.12000000000000002	0.24000000000000005	0.08000000000000002	0.022408963585434174	0.01680672268907563	0.008403361344537815	0.01680672268907563	0.0056022408963585435	8	80	6	72	3	59	6	36	2	85	13	10	6	10	3
IKZF3	C1	0.23591934812359192	0.14300856991430086	0.05042016806722689	0.4444444444444444	0.2777777777777778	0.1111111111111111	0.1111111111111111	0.05555555555555555	0.022408963585434174	0.014005602240896359	0.0056022408963585435	0.0056022408963585435	0.0028011204481792717	8	80	5	73	2	60	2	40	1	86	16	10	4	4	2
FCRL3	C1	0.23591934812359192	0.14302856971430286	0.036414565826330535	0.5384615384615384	0.15384615384615383	0.0	0.07692307692307691	0.23076923076923075	0.0196078431372549	0.0056022408963585435	0.0	0.0028011204481792717	0.008403361344537815	7	81	2	76	0	62	1	41	3	84	12	4	0	2	5
SIN3A	C1	0.23591934812359192	0.14131858681413187	0.025210084033613446	0.4444444444444444	0.2222222222222222	0.3333333333333333	0.0	0.0	0.011204481792717087	0.0056022408963585435	0.008403361344537815	0.0	0.0	4	84	2	76	3	59	0	42	0	87	7	4	5	0	0
POU2F2	C1	0.23811155827835664	0.14659853401465986	0.07002801120448178	0.4000000000000001	0.28	0.12000000000000002	0.12000000000000002	0.08000000000000002	0.028011204481792718	0.0196078431372549	0.008403361344537815	0.008403361344537815	0.0056022408963585435	10	78	7	71	3	59	3	39	2	85	20	12	6	5	4
RHOA	C1	0.30210334768160696	0.2017779822201778	0.039215686274509796	0.5000000000000001	0.14285714285714288	0.21428571428571433	0.07142857142857144	0.07142857142857144	0.0196078431372549	0.0056022408963585435	0.008403361344537815	0.0028011204481792717	0.0028011204481792717	7	81	2	76	3	59	1	41	1	86	13	4	6	2	2
CIITA	C1	0.3240102405605778	0.2188278117218828	0.0784313725490196	0.25	0.10714285714285714	0.25	0.21428571428571427	0.17857142857142858	0.0196078431372549	0.008403361344537815	0.0196078431372549	0.01680672268907563	0.014005602240896359	7	81	3	75	7	55	6	36	5	82	13	6	13	12	8
TUBGCP5	C1	0.3433733968671242	0.23446765532344677	0.06442577030812324	0.3478260869565218	0.30434782608695654	0.04347826086956522	0.04347826086956522	0.2608695652173913	0.022408963585434174	0.0196078431372549	0.0028011204481792717	0.0028011204481792717	0.01680672268907563	8	80	7	71	1	61	1	41	6	81	14	13	2	2	11
METTL22	C1	0.35721869808328943	0.24658753412465875	0.014005602240896359	0.6	0.19999999999999998	0.0	0.19999999999999998	0.0	0.008403361344537815	0.0028011204481792717	0.0	0.0028011204481792717	0.0	3	85	1	77	0	62	1	41	0	87	6	1	0	2	0
PABPC1	C1	0.38602957885765055	0.27181728182718173	0.025210084033613446	0.4444444444444444	0.0	0.1111111111111111	0.2222222222222222	0.2222222222222222	0.011204481792717087	0.0	0.0028011204481792717	0.0056022408963585435	0.0056022408963585435	4	84	0	78	1	61	2	40	2	85	8	0	2	4	3
CRIP1	C1	0.38741748708167373	0.27488725112748874	0.0196078431372549	0.42857142857142855	0.0	0.14285714285714285	0.2857142857142857	0.14285714285714285	0.008403361344537815	0.0	0.0028011204481792717	0.0056022408963585435	0.0028011204481792717	3	85	0	78	1	61	2	40	1	86	5	0	2	3	2
SASH3	C1	0.3998020123425709	0.28791712082879173	0.011204481792717087	0.75	0.0	0.0	0.0	0.25	0.008403361344537815	0.0	0.0	0.0	0.0028011204481792717	3	85	0	78	0	62	0	42	1	86	6	0	0	0	2
TNIP1	C1	0.4248441189057497	0.3107068929310707	0.036414565826330535	0.3846153846153846	0.07692307692307691	0.15384615384615383	0.0	0.3846153846153846	0.014005602240896359	0.0028011204481792717	0.0056022408963585435	0.0	0.014005602240896359	5	83	1	77	2	60	0	42	5	82	10	2	4	0	10
TLR2	C1	0.4543894561054389	0.33745662543374566	0.028011204481792715	0.4	0.1	0.0	0.2	0.3	0.011204481792717087	0.0028011204481792717	0.0	0.0056022408963585435	0.008403361344537815	4	84	1	77	0	62	2	40	3	84	8	2	0	4	6
ARHGEF6	C1	0.4704812357817016	0.35417645823541766	0.01680672268907563	0.33333333333333337	0.0	0.16666666666666669	0.33333333333333337	0.16666666666666669	0.0056022408963585435	0.0	0.0028011204481792717	0.0056022408963585435	0.0028011204481792717	2	86	0	78	1	61	2	40	1	86	4	0	2	3	2
C3ORF33	C1	0.47625632118063055	0.36074639253607466	0.0196078431372549	0.42857142857142855	0.14285714285714285	0.0	0.2857142857142857	0.14285714285714285	0.008403361344537815	0.0028011204481792717	0.0	0.0056022408963585435	0.0028011204481792717	3	85	1	77	0	62	2	40	1	86	6	2	0	4	2
ANKRD40	C1	0.523238493105265	0.3982860171398286	0.014005602240896359	0.6	0.19999999999999998	0.19999999999999998	0.0	0.0	0.008403361344537815	0.0028011204481792717	0.0028011204481792717	0.0	0.0	3	85	1	77	1	61	0	42	0	87	6	2	2	0	0
PAX5	C1	0.5559123049546203	0.42730572694273056	0.04201680672268907	0.2666666666666667	0.2666666666666667	0.2	0.2	0.06666666666666668	0.011204481792717087	0.011204481792717087	0.008403361344537815	0.008403361344537815	0.0028011204481792717	4	84	4	74	3	59	3	39	1	86	8	8	5	6	2
AVPR1B	C1	0.5655390789087278	0.43681563184368155	0.028011204481792718	0.3	0.09999999999999999	0.09999999999999999	0.3	0.19999999999999998	0.008403361344537815	0.0028011204481792717	0.0028011204481792717	0.008403361344537815	0.0056022408963585435	3	85	1	77	1	61	3	39	2	85	5	2	2	6	4
SIRT5	C1	0.5701514138704767	0.4425055749442506	0.03361344537815126	0.33333333333333337	0.08333333333333334	0.16666666666666669	0.25	0.16666666666666669	0.011204481792717087	0.0028011204481792717	0.0056022408963585435	0.008403361344537815	0.0056022408963585435	4	84	1	77	2	60	3	39	2	85	7	2	4	6	4
ATN1	C1	0.5787098732786258	0.4551054489455105	0.030812324929971987	0.2727272727272727	0.18181818181818182	0.18181818181818182	0.2727272727272727	0.09090909090909091	0.008403361344537815	0.0056022408963585435	0.0056022408963585435	0.008403361344537815	0.0028011204481792717	3	85	2	76	2	60	3	39	1	86	5	3	3	5	2
P2RY8	C1	0.6060728229927003	0.4862151378486215	0.08123249299719887	0.2758620689655173	0.10344827586206898	0.20689655172413796	0.17241379310344832	0.24137931034482762	0.022408963585434174	0.008403361344537815	0.01680672268907563	0.014005602240896359	0.0196078431372549	8	80	3	75	6	56	5	37	7	80	16	6	12	10	13
TSR1	C1	0.6214111374867987	0.5061249387506125	0.022408963585434174	0.375	0.375	0.0	0.125	0.125	0.008403361344537815	0.008403361344537815	0.0	0.0028011204481792717	0.0028011204481792717	3	85	3	75	0	62	1	41	1	86	6	6	0	2	2
DOCK1	C1	0.6286197315018001	0.5242947570524294	0.10084033613445377	0.36111111111111116	0.22222222222222224	0.16666666666666669	0.08333333333333334	0.16666666666666669	0.036414565826330535	0.022408963585434174	0.01680672268907563	0.008403361344537815	0.01680672268907563	13	75	8	70	6	56	3	39	6	81	25	14	11	6	11
PRKCB	C1	0.6286197315018001	0.5273947260527395	0.056022408963585436	0.39999999999999997	0.15	0.09999999999999999	0.15	0.19999999999999998	0.022408963585434174	0.008403361344537815	0.0056022408963585435	0.008403361344537815	0.011204481792717087	8	80	3	75	2	60	3	39	4	83	16	6	3	5	8
OLIG1	C1	0.6286197315018001	0.5225547744522555	0.022408963585434174	0.375	0.375	0.0	0.0	0.25	0.008403361344537815	0.008403361344537815	0.0	0.0	0.0056022408963585435	3	85	3	75	0	62	0	42	2	85	6	5	0	0	4
IL6	C1	0.6286197315018001	0.5290147098529014	0.025210084033613446	0.3333333333333333	0.2222222222222222	0.0	0.2222222222222222	0.2222222222222222	0.008403361344537815	0.0056022408963585435	0.0	0.0056022408963585435	0.0056022408963585435	3	85	2	76	0	62	2	40	2	85	6	4	0	4	4
GLDC	C1	0.6288106551248899	0.5343646563534364	0.04481792717086835	0.3125	0.25	0.25	0.0	0.1875	0.014005602240896359	0.011204481792717087	0.011204481792717087	0.0	0.008403361344537815	5	83	4	74	4	58	0	42	3	84	10	7	8	0	6
TRAF6	C1	0.6296888335464471	0.5404045959540404	0.01680672268907563	0.5	0.0	0.16666666666666669	0.0	0.33333333333333337	0.008403361344537815	0.0	0.0028011204481792717	0.0	0.0056022408963585435	3	85	0	78	1	61	0	42	2	85	6	0	1	0	4
NAV1	C1	0.6617801063368678	0.5728842711572885	0.0588235294117647	0.33333333333333337	0.28571428571428575	0.1904761904761905	0.04761904761904762	0.14285714285714288	0.0196078431372549	0.01680672268907563	0.011204481792717087	0.0028011204481792717	0.008403361344537815	7	81	6	72	4	58	1	41	3	84	12	9	7	2	6
SPIB	C1	0.6852449930436318	0.5957540424595754	0.05042016806722689	0.2777777777777778	0.2777777777777778	0.16666666666666666	0.0	0.2777777777777778	0.014005602240896359	0.014005602240896359	0.008403361344537815	0.0	0.014005602240896359	5	83	5	73	3	59	0	42	5	82	9	7	5	0	9
NLRP8	C1	0.7111467868372163	0.6260337396626033	0.028011204481792715	0.3	0.3	0.0	0.1	0.3	0.008403361344537815	0.008403361344537815	0.0	0.0028011204481792717	0.008403361344537815	3	85	3	75	0	62	1	41	3	84	6	5	0	2	5
UVRAG	C1	0.7160390843348949	0.6332136678633213	0.01680672268907563	0.5	0.16666666666666669	0.0	0.16666666666666669	0.16666666666666669	0.008403361344537815	0.0028011204481792717	0.0	0.0028011204481792717	0.0028011204481792717	3	85	1	77	0	62	1	41	1	86	6	2	0	2	1
INTS3	C1	0.7404398985055792	0.6658433415665843	0.01680672268907563	0.5	0.16666666666666669	0.0	0.0	0.33333333333333337	0.008403361344537815	0.0028011204481792717	0.0	0.0	0.0056022408963585435	3	85	1	77	0	62	0	42	2	85	4	2	0	0	3
RUSC1	C1	0.7628731977143038	0.6888631113688863	0.03361344537815126	0.33333333333333337	0.25	0.16666666666666669	0.16666666666666669	0.08333333333333334	0.011204481792717087	0.008403361344537815	0.0056022408963585435	0.0056022408963585435	0.0028011204481792717	4	84	3	75	2	60	2	40	1	86	8	6	4	4	2
VEZF1	C1	0.7800376317224482	0.7072729272707273	0.0196078431372549	0.42857142857142855	0.14285714285714285	0.2857142857142857	0.0	0.14285714285714285	0.008403361344537815	0.0028011204481792717	0.0056022408963585435	0.0	0.0028011204481792717	3	85	1	77	2	60	0	42	1	86	6	1	4	0	2
TMC1	C1	0.8005790962498538	0.7318726812731873	0.025210084033613446	0.4444444444444444	0.2222222222222222	0.1111111111111111	0.0	0.2222222222222222	0.011204481792717087	0.0056022408963585435	0.0028011204481792717	0.0	0.0056022408963585435	4	84	2	76	1	61	0	42	2	85	8	3	2	0	4
GPR126	C1	0.8171639741092467	0.7531324686753132	0.04761904761904762	0.29411764705882354	0.29411764705882354	0.1764705882352941	0.1176470588235294	0.1176470588235294	0.014005602240896359	0.014005602240896359	0.008403361344537815	0.0056022408963585435	0.0056022408963585435	5	83	5	73	3	59	2	40	2	85	10	10	5	3	4
MSL2	C1	0.8541658131805778	0.7904220957790422	0.01680672268907563	0.5	0.16666666666666669	0.16666666666666669	0.0	0.16666666666666669	0.008403361344537815	0.0028011204481792717	0.0028011204481792717	0.0	0.0028011204481792717	3	85	1	77	1	61	0	42	1	86	6	2	2	0	2
DACH1	C1	0.8559877453434301	0.7953020469795302	0.08123249299719888	0.24137931034482757	0.24137931034482757	0.24137931034482757	0.10344827586206896	0.1724137931034483	0.0196078431372549	0.0196078431372549	0.0196078431372549	0.008403361344537815	0.014005602240896359	7	81	7	71	7	55	3	39	5	82	12	14	13	6	9
KAT6B	C1	0.856390796092039	0.7988720112798872	0.04481792717086835	0.3125	0.25	0.0625	0.125	0.25	0.014005602240896359	0.011204481792717087	0.0028011204481792717	0.0056022408963585435	0.011204481792717087	5	83	4	74	1	61	2	40	4	83	8	7	2	3	7
HIST1H3B	C1	0.8721185804014975	0.8200517994820051	0.0392156862745098	0.35714285714285715	0.21428571428571427	0.21428571428571427	0.07142857142857142	0.14285714285714285	0.014005602240896359	0.008403361344537815	0.008403361344537815	0.0028011204481792717	0.0056022408963585435	5	83	3	75	3	59	1	41	2	85	8	4	6	2	4
ADCY7	C1	0.8735974057582259	0.8266417335826641	0.028011204481792718	0.39999999999999997	0.09999999999999999	0.19999999999999998	0.09999999999999999	0.19999999999999998	0.011204481792717087	0.0028011204481792717	0.0056022408963585435	0.0028011204481792717	0.0056022408963585435	4	84	1	77	2	60	1	41	2	85	6	2	4	1	3
KDELR3	C1	0.904663015626653	0.8675313246867531	0.011204481792717087	0.25	0.25	0.0	0.25	0.25	0.0028011204481792717	0.0028011204481792717	0.0	0.0028011204481792717	0.0028011204481792717	1	87	1	77	0	62	1	41	1	86	2	2	0	2	2
SMEK1	C1	0.9208674325470486	0.8956010439895601	0.025210084033613446	0.2222222222222222	0.2222222222222222	0.1111111111111111	0.2222222222222222	0.2222222222222222	0.0056022408963585435	0.0056022408963585435	0.0028011204481792717	0.0056022408963585435	0.0056022408963585435	2	86	2	76	1	61	2	40	2	85	3	4	2	4	4
ZNF444	C1	0.9812747155547312	0.969470305296947	0.0700280112044818	0.27999999999999997	0.2	0.2	0.12	0.2	0.0196078431372549	0.014005602240896359	0.014005602240896359	0.008403361344537815	0.014005602240896359	7	81	5	73	5	57	3	39	5	82	14	10	10	6	10
GABRA2	C1	0.9812747155547312	0.967080329196708	0.022408963585434174	0.375	0.125	0.125	0.125	0.25	0.008403361344537815	0.0028011204481792717	0.0028011204481792717	0.0028011204481792717	0.0056022408963585435	3	85	1	77	1	61	1	41	2	85	6	2	1	2	4
IL4R	C1	0.9820187512410591	0.974690253097469	0.01680672268907563	0.33333333333333337	0.16666666666666669	0.16666666666666669	0.16666666666666669	0.16666666666666669	0.0056022408963585435	0.0028011204481792717	0.0028011204481792717	0.0028011204481792717	0.0028011204481792717	2	86	1	77	1	61	1	41	1	86	3	2	2	2	2
C9ORF43	C1	0.9841323309613346	0.9804601953980461	0.0392156862745098	0.2857142857142857	0.21428571428571427	0.21428571428571427	0.07142857142857142	0.21428571428571427	0.011204481792717087	0.008403361344537815	0.008403361344537815	0.0028011204481792717	0.008403361344537815	4	84	3	75	3	59	1	41	3	84	8	5	6	2	6
