	q	p	Shipp_wt	Shipp_mt	Staudt_wt	Staudt_mt	q_os	p_os	Shipp_os_wt	Shipp_os_mt	Staudt_os_wt	Staudt_os_mt
X6P.AMP	1.0	0.31598293864542254	41	11	53	8	1.0	0.7778851867920334	40	8	37	6
PRDM1	1.0	0.3324687749466511	49	3	60	1	1.0	1.0	46	2	42	1
X9Q21.13.DEL	1.0	0.3324687749466511	49	3	60	1	1.0	0.6188889761923471	45	3	42	1
X9P24.1.AMP	1.0	0.33775412624633144	49	3	54	7	1.0	0.46880445033007867	45	3	38	5
MYD88.OTHER	1.0	0.33775412624633144	49	3	54	7	1.0	1.0	45	3	40	3
MYD88	1.0	0.33775412624633144	49	3	54	7	1.0	1.0	45	3	40	3
X19Q13.32.DEL	1.0	0.3718802125881773	51	1	57	4	1.0	0.3406174349994574	47	1	40	3
SMG7	1.0	0.3718802125881773	51	1	57	4	1.0	0.3406174349994574	47	1	40	3
B2M	1.0	0.37583165162936033	48	4	52	9	0.9690958164642373	0.21574565002345455	44	4	35	8
BCL7A	1.0	0.37583165162936033	48	4	52	9	1.0	0.33781607648779033	44	4	36	7
COO_ABC	1.0	0.39679813620588605	41	1	56	5	1.0	1.0	38	1	41	2
X11P.AMP	1.0	0.4058788984521352	47	5	51	10	1.0	0.5382349935939639	43	5	36	7
X14Q32.31.DEL	1.0	0.41131110987813113	48	4	59	2	1.0	0.3648149603205783	44	4	42	1
TMEM30A	1.0	0.41131110987813113	48	4	59	2	0.9690958164642373	0.11897839987727632	44	4	43	0
ZFP36L1	1.0	0.41131110987813113	48	4	59	2	1.0	0.3648149603205783	44	4	42	1
EBF1	1.0	0.4252186830544448	43	9	54	7	1.0	0.5835347252350624	39	9	37	6
KMT2D	1.0	0.4464723273980795	25	27	24	37	1.0	0.3995077209031974	24	24	17	26
ETS1	1.0	0.4490879370517269	50	2	56	5	1.0	1.0	46	2	41	2
X18Q21.32.AMP	1.0	0.46017699115044247	51	1	61	0	1.0	1.0	47	1	43	0
CXCR4	1.0	0.46017699115044247	51	1	61	0	1.0	1.0	47	1	43	0
LYN	1.0	0.46017699115044247	51	1	61	0	1.0	1.0	47	1	43	0
HIST1H2AC	1.0	0.4669821359575766	47	5	58	3	0.7913188778667629	0.05751925976645071	43	5	43	0
COO_UNC	1.0	0.4670829388425545	40	2	55	6	1.0	1.0	37	2	41	2
CD58	1.0	0.4987357774968394	52	0	59	2	0.9690958164642373	0.22051282051282045	48	0	41	2
BTG2	1.0	0.4987357774968394	52	0	59	2	0.9690958164642373	0.22051282051282045	48	0	41	2
PTPN6	1.0	0.4987357774968394	52	0	59	2	0.9690958164642373	0.22051282051282045	48	0	41	2
TUBGCP5	1.0	0.4987357774968394	52	0	59	2	0.9690958164642373	0.22051282051282045	48	0	41	2
ZEB2	1.0	0.4987357774968394	52	0	59	2	1.0	0.4725274725274724	48	0	42	1
TNIP1	1.0	0.4987357774968394	52	0	59	2	0.9690958164642373	0.22051282051282045	48	0	41	2
CD274	1.0	0.4987357774968394	52	0	59	2	1.0	0.4725274725274724	48	0	42	1
BCL6	1.0	0.503042541135922	49	3	55	6	1.0	0.703321634492863	45	3	39	4
X12P.AMP	1.0	0.5420120552504162	38	14	41	20	1.0	0.6483432551264899	35	13	29	14
X7Q.AMP	1.0	0.556400291547	33	19	42	19	1.0	1.0	31	17	28	15
HIST1H1C	1.0	0.5693153377971606	45	7	55	6	1.0	0.7435371771746374	42	6	39	4
PIM1	1.0	0.587269854234448	44	8	54	7	1.0	0.5298181581535018	41	7	39	4
HIST1H1E	1.0	0.5908214902216674	46	6	51	10	1.0	0.7658789806726837	42	6	36	7
X1Q42.12.DEL	1.0	0.5935695493217618	50	2	60	1	1.0	1.0	46	2	42	1
X17P.DEL	1.0	0.602964596382798	43	9	53	8	1.0	0.5596295112652859	40	8	38	5
X18Q.AMP	1.0	0.649909963677491	42	10	46	15	1.0	0.7992288237538954	39	9	34	9
HLA.A	1.0	0.6600085554376371	49	3	59	2	1.0	1.0	45	3	41	2
X1P31.1.DEL	1.0	0.6600085554376371	49	3	59	2	1.0	1.0	45	3	41	2
BRAF	1.0	0.6600085554376371	49	3	59	2	1.0	1.0	45	3	41	2
SPEN	1.0	0.6600085554376371	49	3	59	2	1.0	1.0	45	3	41	2
X13Q14.2.DEL	1.0	0.6664463629169067	38	14	47	14	1.0	1.0	36	12	32	11
X8Q12.1.DEL	1.0	0.701374769616824	48	4	58	3	1.0	0.6797757324684872	44	4	41	2
POU2AF1	1.0	0.701374769616824	48	4	58	3	1.0	1.0	44	4	40	3
MEF2C	1.0	0.7239125228532903	49	3	56	5	1.0	1.0	45	3	40	3
LTB	1.0	0.7239125228532903	49	3	56	5	1.0	0.46880445033007867	45	3	38	5
HIST1H1D	1.0	0.7239125228532903	49	3	56	5	1.0	0.46880445033007867	45	3	38	5
OSBPL10	1.0	0.7239125228532903	49	3	56	5	1.0	0.703321634492863	45	3	39	4
HIST1H1B	1.0	0.7302230937595005	47	5	57	4	1.0	0.9999999999999999	43	5	39	4
X13Q.AMP	1.0	0.7302230937595005	47	5	57	4	1.0	0.4396075318198526	43	5	41	2
X1Q32.1.AMP	1.0	0.7302230937595005	47	5	57	4	1.0	0.7174491757074886	43	5	40	3
X6Q14.1.DEL	1.0	0.7302230937595005	47	5	57	4	1.0	0.4396075318198526	43	5	41	2
X7Q22.1.AMP	1.0	0.7302230937595005	47	5	57	4	1.0	0.7174491757074886	43	5	40	3
HIST1H2AM	1.0	0.7509751634703081	48	4	55	6	1.0	0.6797757324684872	44	4	41	2
ACTB	1.0	0.7517810690901453	46	6	56	5	1.0	0.7435371771746374	42	6	39	4
X11Q.AMP	1.0	0.7686608100167606	47	5	53	8	1.0	1.0	43	5	38	5
X4Q35.1.DEL	1.0	0.7705539294110587	46	6	55	6	1.0	0.7435371771746374	42	6	39	4
X1P36.11.DEL	1.0	0.7705539294110587	46	6	55	6	1.0	0.9999999999999999	42	6	37	6
X5Q.AMP	1.0	0.7813844654658388	45	7	54	7	1.0	0.9999999999999999	42	6	37	6
X21Q.AMP	1.0	0.7936883006608073	45	7	51	10	1.0	0.5382349935939639	43	5	36	7
X13Q34.DEL	1.0	0.805979210408674	42	10	51	10	1.0	0.7899170384302638	39	9	36	7
X18P.AMP	1.0	0.8116120720419706	43	9	49	12	1.0	0.9999999999999999	40	8	36	7
X6P21.33.DEL	1.0	0.8116120720419706	43	9	49	12	1.0	1.0	39	9	35	8
X1Q.AMP	1.0	0.8275651633819227	40	12	45	16	1.0	0.8099661217148734	37	11	32	11
X2P16.1.AMP	1.0	0.836203272461172	36	16	44	17	1.0	0.4975618233540046	35	13	28	15
X12Q.AMP	1.0	0.8428707924341295	35	17	39	22	1.0	1.0	31	17	27	16
X15Q15.3.DEL	1.0	0.9999999999999999	40	12	47	14	1.0	0.4806313914741331	37	11	30	13
X16Q12.1.DEL	1.0	0.9999999999999999	47	5	55	6	1.0	0.7503972938345751	43	5	37	6
GNA13	1.0	0.9999999999999999	40	12	47	14	1.0	1.0	36	12	32	11
MAP2K1	1.0	0.9999999999999999	47	5	55	6	1.0	0.6797757324684872	44	4	41	2
IGLL5	1.0	1.0	51	1	60	1	1.0	1.0	47	1	42	1
MYD88.L265P	1.0	1.0	52	0	61	0	1.0	1.0	48	0	43	0
X19Q.AMP	1.0	1.0	48	4	57	4	1.0	1.0	44	4	40	3
HLA.C	1.0	1.0	52	0	61	0	1.0	1.0	48	0	43	0
TBL1XR1	1.0	1.0	49	3	57	4	1.0	0.6188889761923471	45	3	42	1
X19Q13.42.AMP	1.0	1.0	50	2	59	2	1.0	1.0	46	2	42	1
TMSB4X	1.0	1.0	49	3	57	4	1.0	0.703321634492863	45	3	39	4
X6Q21.DEL	1.0	1.0	47	5	56	5	1.0	1.0	45	3	41	2
GRHPR	1.0	1.0	52	0	61	0	1.0	1.0	48	0	43	0
HLA.B	1.0	1.0	50	2	59	2	1.0	0.49597069597069593	46	2	43	0
X18Q22.2.AMP	1.0	1.0	49	3	58	3	1.0	1.0	45	3	41	2
PIM2	1.0	1.0	52	0	60	1	1.0	1.0	48	0	43	0
BCL11A	1.0	1.0	51	1	59	2	1.0	1.0	47	1	42	1
ATP2A2	1.0	1.0	52	0	61	0	1.0	1.0	48	0	43	0
TOX	1.0	1.0	49	3	58	3	1.0	0.6641550364913403	46	2	40	3
ETV6	1.0	1.0	52	0	60	1	1.0	0.4725274725274724	48	0	42	1
ZC3H12A	1.0	1.0	51	1	60	1	1.0	1.0	47	1	42	1
SV.BCL6	1.0	1.0	51	1	59	2	1.0	0.4725274725274724	48	0	42	1
METAP1D	1.0	1.0	52	0	61	0	1.0	1.0	48	0	43	0
X3Q28.DEL	1.0	1.0	51	1	60	1	1.0	1.0	47	1	42	1
X5P.AMP	1.0	1.0	43	9	51	10	1.0	0.9999999999999999	40	8	36	7
X2Q22.2.DEL	1.0	1.0	51	1	60	1	1.0	0.4725274725274724	48	0	42	1
X8Q24.22.AMP	1.0	1.0	41	11	48	13	1.0	0.9999999999999999	37	11	34	9
X1P13.1.DEL	1.0	1.0	48	4	56	5	1.0	1.0	44	4	39	4
RHOA	1.0	1.0	49	3	57	4	1.0	1.0	45	3	40	3
X7P.AMP	1.0	1.0	31	21	37	24	1.0	0.6762069472849805	29	19	24	19
FADD	1.0	1.0	52	0	60	1	1.0	0.4725274725274724	48	0	42	1
IKZF3	1.0	1.0	51	1	60	1	1.0	1.0	47	1	43	0
UBE2A	1.0	1.0	52	0	61	0	1.0	1.0	48	0	43	0
BCL10	1.0	1.0	51	1	59	2	1.0	0.6007408322015064	47	1	41	2
NOTCH2	1.0	1.0	51	1	59	2	1.0	1.0	47	1	42	1
TNFAIP3	1.0	1.0	48	4	57	4	1.0	1.0	45	3	40	3
CD70	1.0	1.0	51	1	60	1	1.0	1.0	47	1	42	1
CCDC27	1.0	1.0	52	0	61	0	1.0	1.0	48	0	43	0
X3P.AMP	1.0	1.0	49	3	58	3	0.9971407160865077	0.24395604395604392	45	3	43	0
X17Q24.3.AMP	1.0	1.0	48	4	56	5	1.0	0.6797757324684872	44	4	41	2
X17Q25.1.DEL	1.0	1.0	52	0	60	1	1.0	0.4725274725274724	48	0	42	1
KRAS	1.0	1.0	50	2	58	3	1.0	1.0	46	2	42	1
PABPC1	1.0	1.0	52	0	60	1	1.0	1.0	48	0	43	0
SESN3	1.0	1.0	52	0	61	0	1.0	1.0	48	0	43	0
STAT3	1.0	1.0	48	4	56	5	1.0	1.0	44	4	39	4
CRIP1	1.0	1.0	52	0	60	1	1.0	0.4725274725274724	48	0	42	1
YY1	1.0	1.0	51	1	60	1	1.0	1.0	47	1	43	0
ZNF423	1.0	1.0	52	0	61	0	1.0	1.0	48	0	43	0
TET2	1.0	1.0	51	1	60	1	1.0	1.0	47	1	43	0
CD83	1.0	1.0	51	1	60	1	1.0	1.0	47	1	42	1
HIST1H2BC	1.0	1.0	51	1	60	1	1.0	1.0	47	1	42	1
KLHL6	1.0	1.0	49	3	57	4	1.0	0.703321634492863	45	3	39	4
EEF1A1	1.0	1.0	47	5	56	5	1.0	0.4396075318198526	43	5	41	2
IRF8	1.0	1.0	41	11	49	12	1.0	0.796784121455617	37	11	35	8
X9Q.AMP	1.0	1.0	48	4	56	5	1.0	1.0	45	3	40	3
NFKBIA	1.0	1.0	48	4	57	4	1.0	1.0	44	4	39	4
PLOIDY	1.0	1.0	49	3	58	3	1.0	1.0	45	3	41	2
