gene	cluster	q	p	overall_frequency	C1_nf	C2_nf	C3_nf	C4_nf	C5_nf	C1_f	C2_f	C3_f	C4_f	C5_f	C1_mut	C1_wt	C2_mut	C2_wt	C3_mut	C3_wt	C4_mut	C4_wt	C5_mut	C5_wt	C1_sum	C2_sum	C3_sum	C4_sum	C5_sum
RBM38	C1	0.012720491351787513	0.004569954300456995	0.028653295128939833	0.49999999999999994	0.0	0.29999999999999993	0.09999999999999998	0.09999999999999998	0.014326647564469915	0.0	0.008595988538681949	0.0028653295128939827	0.0028653295128939827	5	37	0	84	3	79	1	62	1	77	8	0	5	2	2
SLAMF6	C1	0.017918002638155437	0.006569934300656994	0.014326647564469913	0.6000000000000001	0.0	0.4	0.0	0.0	0.008595988538681949	0.0	0.0057306590257879654	0.0	0.0	3	39	0	84	2	80	0	63	0	78	6	0	4	0	0
PTPN6	C1	0.020074799252007478	0.008029919700802992	0.054441260744985676	0.368421052631579	0.05263157894736842	0.3157894736842105	0.15789473684210525	0.10526315789473684	0.02005730659025788	0.0028653295128939827	0.017191977077363897	0.008595988538681949	0.0057306590257879654	7	35	1	83	6	76	3	60	2	76	14	2	12	6	4
ACTB	C1	0.024152485747869795	0.00983990160098399	0.10315186246418338	0.3055555555555555	0.1388888888888889	0.1388888888888889	0.2222222222222222	0.19444444444444445	0.03151862464183381	0.014326647564469915	0.014326647564469915	0.022922636103151862	0.02005730659025788	11	31	5	79	5	77	8	55	7	71	21	9	8	14	14
HLA.C	C1	0.027602402547403097	0.011449885501144988	0.034383954154727794	0.4166666666666667	0.08333333333333333	0.16666666666666666	0.0	0.3333333333333333	0.014326647564469915	0.0028653295128939827	0.0057306590257879654	0.0	0.011461318051575931	5	37	1	83	2	80	0	63	4	74	10	2	4	0	8
RAC2	C1	0.038691786995173526	0.016479835201647985	0.034383954154727794	0.3333333333333333	0.0	0.25	0.3333333333333333	0.08333333333333333	0.011461318051575931	0.0	0.008595988538681949	0.011461318051575931	0.0028653295128939827	4	38	0	84	3	79	4	59	1	77	8	0	6	8	1
ID3	C1	0.0390332303573516	0.016769832301676984	0.05157593123209169	0.3888888888888889	0.2222222222222222	0.2222222222222222	0.1111111111111111	0.05555555555555555	0.02005730659025788	0.011461318051575931	0.011461318051575931	0.0057306590257879654	0.0028653295128939827	7	35	4	80	4	78	2	61	1	77	14	7	8	4	2
XPO1	C1	0.057168023361088706	0.025619743802561976	0.02865329512893983	0.39999999999999997	0.39999999999999997	0.09999999999999999	0.0	0.09999999999999999	0.011461318051575931	0.011461318051575931	0.0028653295128939827	0.0	0.0028653295128939827	4	38	4	80	1	81	0	63	1	77	7	7	1	0	1
HIST1H1C	C1	0.06897587274127258	0.032699673003269966	0.11747851002865331	0.24390243902439024	0.12195121951219512	0.24390243902439024	0.24390243902439024	0.14634146341463414	0.02865329512893983	0.014326647564469915	0.02865329512893983	0.02865329512893983	0.017191977077363897	10	32	5	79	10	72	10	53	6	72	20	7	18	18	11
HIST1H1D	C1	0.08714682083948391	0.04195958040419596	0.06303724928366762	0.27272727272727276	0.045454545454545456	0.18181818181818182	0.2272727272727273	0.27272727272727276	0.017191977077363897	0.0028653295128939827	0.011461318051575931	0.014326647564469915	0.017191977077363897	6	36	1	83	4	78	5	58	6	72	12	2	8	10	10
ESX1	C1	0.16261285663005437	0.08732912670873291	0.045845272206303724	0.31250000000000006	0.125	0.31250000000000006	0.1875	0.0625	0.014326647564469915	0.0057306590257879654	0.014326647564469915	0.008595988538681949	0.0028653295128939827	5	37	2	82	5	77	3	60	1	77	10	4	9	6	2
TET2	C1	0.16939159467465728	0.0929190708092919	0.04871060171919771	0.35294117647058826	0.17647058823529413	0.11764705882352941	0.11764705882352941	0.23529411764705882	0.017191977077363897	0.008595988538681949	0.0057306590257879654	0.0057306590257879654	0.011461318051575931	6	36	3	81	2	80	2	61	4	74	12	6	4	4	7
ARHGAP25	C1	0.16939159467465728	0.09299907000929991	0.02865329512893983	0.39999999999999997	0.09999999999999999	0.09999999999999999	0.09999999999999999	0.3	0.011461318051575931	0.0028653295128939827	0.0028653295128939827	0.0028653295128939827	0.008595988538681949	4	38	1	83	1	81	1	62	3	75	7	2	2	2	5
HIST1H2AM	C1	0.2041941119050348	0.11797882021179788	0.09742120343839542	0.2647058823529412	0.17647058823529413	0.2058823529411765	0.2058823529411765	0.14705882352941177	0.025787965616045846	0.017191977077363897	0.02005730659025788	0.02005730659025788	0.014326647564469915	9	33	6	78	7	75	7	56	5	73	17	11	12	10	7
ZNF608	C1	0.24777570406114122	0.15141848581514186	0.09742120343839542	0.23529411764705882	0.11764705882352941	0.2058823529411765	0.2058823529411765	0.23529411764705882	0.022922636103151862	0.011461318051575931	0.02005730659025788	0.02005730659025788	0.022922636103151862	8	34	4	80	7	75	7	56	8	70	15	8	13	12	14
PTEN	C1	0.289515540598784	0.18987810121898782	0.04584527220630373	0.3125	0.12499999999999999	0.24999999999999997	0.18749999999999997	0.12499999999999999	0.014326647564469915	0.0057306590257879654	0.011461318051575931	0.008595988538681949	0.0057306590257879654	5	37	2	82	4	78	3	60	2	76	10	4	8	6	4
OGT	C1	0.32617133288126576	0.22348776512234877	0.03151862464183381	0.36363636363636365	0.18181818181818182	0.18181818181818182	0.18181818181818182	0.09090909090909091	0.011461318051575931	0.0057306590257879654	0.0057306590257879654	0.0057306590257879654	0.0028653295128939827	4	38	2	82	2	80	2	61	1	77	8	4	4	4	2
EIF4A2	C1	0.33943946274822967	0.23707762922370776	0.03724928366762178	0.30769230769230765	0.23076923076923075	0.15384615384615383	0.23076923076923075	0.07692307692307691	0.011461318051575931	0.008595988538681949	0.0057306590257879654	0.008595988538681949	0.0028653295128939827	4	38	3	81	2	80	3	60	1	77	8	6	4	6	2
TBC1D12	C1	0.4302848060628305	0.32191678083219166	0.042979942693409746	0.2666666666666666	0.19999999999999998	0.1333333333333333	0.2666666666666666	0.1333333333333333	0.011461318051575931	0.008595988538681949	0.0057306590257879654	0.011461318051575931	0.0057306590257879654	4	38	3	81	2	80	4	59	2	76	7	6	3	7	3
AVPR1B	C1	0.5406727328075557	0.42959570404295955	0.02865329512893983	0.3	0.19999999999999998	0.3	0.09999999999999999	0.09999999999999999	0.008595988538681949	0.0057306590257879654	0.008595988538681949	0.0028653295128939827	0.0028653295128939827	3	39	2	82	3	79	1	62	1	77	6	4	5	2	2
C3ORF33	C1	0.5866831742641477	0.4758652413475865	0.020057306590257878	0.28571428571428575	0.14285714285714288	0.28571428571428575	0.0	0.28571428571428575	0.0057306590257879654	0.0028653295128939827	0.0057306590257879654	0.0	0.0057306590257879654	2	40	1	83	2	80	0	63	2	76	4	2	4	0	4
CRIP1	C1	0.7803148859267709	0.6878331216687833	0.02005730659025788	0.2857142857142857	0.14285714285714285	0.2857142857142857	0.14285714285714285	0.14285714285714285	0.0057306590257879654	0.0028653295128939827	0.0057306590257879654	0.0028653295128939827	0.0028653295128939827	2	40	1	83	2	80	1	62	1	77	3	2	3	2	2
SMEK1	C1	0.8311158691691771	0.7510824891751082	0.022922636103151862	0.25	0.125	0.25	0.125	0.25	0.0057306590257879654	0.0028653295128939827	0.0057306590257879654	0.0028653295128939827	0.0057306590257879654	2	40	1	83	2	80	1	62	2	76	4	2	3	2	4
KDELR3	C1	0.9602768633967795	0.946050539494605	0.011461318051575931	0.25	0.25	0.25	0.0	0.25	0.0028653295128939827	0.0028653295128939827	0.0028653295128939827	0.0	0.0028653295128939827	1	41	1	83	1	81	0	63	1	77	2	2	2	0	2
X17P.DEL	C2	8.437415625843743e-05	9.99990000099999e-06	0.24068767908309455	0.047619047619047616	0.5952380952380952	0.07142857142857144	0.13095238095238096	0.15476190476190477	0.011461318051575931	0.14326647564469913	0.017191977077363897	0.03151862464183381	0.03724928366762178	4	38	50	34	6	76	11	52	13	65	4	52	6	12	13
X3Q.AMP	C2	8.437415625843743e-05	9.99990000099999e-06	0.2836676217765043	0.020202020202020204	0.4747474747474748	0.07070707070707072	0.05050505050505051	0.38383838383838387	0.0057306590257879654	0.1346704871060172	0.02005730659025788	0.014326647564469915	0.10888252148997135	2	40	47	37	7	75	5	58	38	40	2	52	8	5	43
TP53	C2	8.437415625843743e-05	9.99990000099999e-06	0.21776504297994267	0.052631578947368425	0.4868421052631579	0.1710526315789474	0.22368421052631582	0.06578947368421054	0.011461318051575931	0.10601719197707736	0.03724928366762178	0.04871060171919771	0.014326647564469915	4	38	37	47	13	69	17	46	5	73	8	73	26	34	10
X18P.AMP	C2	8.437415625843743e-05	9.99990000099999e-06	0.2349570200573066	0.024390243902439022	0.4268292682926829	0.08536585365853659	0.12195121951219513	0.34146341463414637	0.0057306590257879654	0.10028653295128939	0.02005730659025788	0.02865329512893983	0.08022922636103152	2	40	35	49	7	75	10	53	28	50	2	38	8	10	30
X1P36.11.DEL	C2	8.437415625843743e-05	9.99990000099999e-06	0.15759312320916904	0.14545454545454545	0.5454545454545454	0.1272727272727273	0.1090909090909091	0.07272727272727272	0.022922636103151862	0.08595988538681948	0.02005730659025788	0.017191977077363897	0.011461318051575931	8	34	30	54	7	75	6	57	4	74	8	30	7	6	4
X2P16.1.AMP	C2	8.437415625843743e-05	9.99990000099999e-06	0.19484240687679086	0.13235294117647056	0.4117647058823529	0.13235294117647056	0.2647058823529411	0.0588235294117647	0.025787965616045846	0.08022922636103152	0.025787965616045846	0.05157593123209169	0.011461318051575931	9	33	28	56	9	73	18	45	4	74	11	35	10	25	4
X1P31.1.DEL	C2	8.437415625843743e-05	9.99990000099999e-06	0.12320916905444125	0.16279069767441864	0.5813953488372093	0.06976744186046513	0.06976744186046513	0.11627906976744187	0.02005730659025788	0.07163323782234957	0.008595988538681949	0.008595988538681949	0.014326647564469915	7	35	25	59	3	79	3	60	5	73	7	25	3	3	5
X2Q22.2.DEL	C2	8.437415625843743e-05	9.99990000099999e-06	0.1146131805157593	0.12500000000000003	0.6000000000000001	0.07500000000000001	0.07500000000000001	0.12500000000000003	0.014326647564469915	0.06876790830945559	0.008595988538681949	0.008595988538681949	0.014326647564469915	5	37	24	60	3	79	3	60	5	73	5	24	3	3	5
X4Q35.1.DEL	C2	8.437415625843743e-05	9.99990000099999e-06	0.10888252148997134	0.026315789473684213	0.6315789473684211	0.10526315789473685	0.15789473684210528	0.07894736842105264	0.0028653295128939827	0.06876790830945559	0.011461318051575931	0.017191977077363897	0.008595988538681949	1	41	24	60	4	78	6	57	3	75	1	24	4	6	3
X4Q21.22.DEL	C2	0.00013846015385999988	1.999980000199998e-05	0.14326647564469916	0.05999999999999999	0.5599999999999999	0.11999999999999998	0.09999999999999999	0.15999999999999998	0.008595988538681949	0.08022922636103152	0.017191977077363897	0.014326647564469915	0.022922636103151862	3	39	28	56	6	76	5	58	8	70	3	28	6	5	8
X14Q32.31.DEL	C2	0.00013846015385999988	1.999980000199998e-05	0.1547277936962751	0.07407407407407406	0.48148148148148145	0.27777777777777773	0.11111111111111109	0.055555555555555546	0.011461318051575931	0.07449856733524356	0.04297994269340974	0.017191977077363897	0.008595988538681949	4	38	26	58	15	67	6	57	3	75	4	26	15	6	3
X15Q15.3.DEL	C2	0.0001883702093211626	2.999970000299997e-05	0.2521489971346705	0.05681818181818182	0.4431818181818182	0.15909090909090912	0.20454545454545456	0.13636363636363638	0.014326647564469915	0.11174785100286533	0.04011461318051576	0.05157593123209169	0.034383954154727794	5	37	39	45	14	68	18	45	12	66	5	40	14	18	12
X8Q12.1.DEL	C2	0.0001883702093211626	2.999970000299997e-05	0.1346704871060172	0.0425531914893617	0.5319148936170212	0.10638297872340426	0.0851063829787234	0.23404255319148934	0.0057306590257879654	0.07163323782234957	0.014326647564469915	0.011461318051575931	0.03151862464183381	2	40	25	59	5	77	4	59	11	67	2	25	5	4	11
X6Q.DEL	C2	0.0002399976000239998	3.999960000399996e-05	0.28939828080229224	0.029702970297029705	0.33663366336633666	0.22772277227722773	0.10891089108910892	0.297029702970297	0.008595988538681949	0.09742120343839542	0.0659025787965616	0.03151862464183381	0.08595988538681948	3	39	34	50	23	59	11	52	30	48	3	34	23	11	30
X16Q12.1.DEL	C2	0.0002399976000239998	3.999960000399996e-05	0.09169054441260745	0.09375	0.59375	0.0625	0.1875	0.0625	0.008595988538681949	0.054441260744985676	0.0057306590257879654	0.017191977077363897	0.0057306590257879654	3	39	19	65	2	80	6	57	2	76	3	20	2	6	2
X12P13.2.DEL	C2	0.0002872311702414891	4.999950000499995e-05	0.060171919770773644	0.047619047619047616	0.7142857142857142	0.09523809523809523	0.0	0.14285714285714285	0.0028653295128939827	0.04297994269340974	0.0057306590257879654	0.0	0.008595988538681949	1	41	15	69	2	80	0	63	3	75	1	15	2	0	3
X19P13.2.DEL	C2	0.0003779962200377997	6.999930000699993e-05	0.13753581661891118	0.08333333333333333	0.5208333333333333	0.08333333333333333	0.10416666666666667	0.20833333333333334	0.011461318051575931	0.07163323782234957	0.011461318051575931	0.014326647564469915	0.02865329512893983	4	38	25	59	4	78	5	58	10	68	4	26	4	5	10
X8Q24.22.AMP	C2	0.0003779962200377997	6.999930000699993e-05	0.16045845272206302	0.03571428571428572	0.4107142857142857	0.1785714285714286	0.3035714285714286	0.07142857142857144	0.0057306590257879654	0.0659025787965616	0.02865329512893983	0.04871060171919771	0.011461318051575931	2	40	23	61	10	72	17	46	4	74	2	24	10	17	4
X11Q.AMP	C2	0.0005999940000599994	0.00011999880001199988	0.17191977077363899	0.06666666666666665	0.4833333333333333	0.1333333333333333	0.18333333333333332	0.1333333333333333	0.011461318051575931	0.0830945558739255	0.022922636103151862	0.03151862464183381	0.022922636103151862	4	38	29	55	8	74	11	52	8	70	4	32	8	12	8
X1P36.32.DEL	C2	0.0009449905500944992	0.0002099979000209998	0.21203438395415475	0.1081081081081081	0.44594594594594594	0.16216216216216214	0.16216216216216214	0.12162162162162161	0.022922636103151862	0.09455587392550144	0.034383954154727794	0.034383954154727794	0.025787965616045846	8	34	33	51	12	70	12	51	9	69	8	33	13	13	9
X1Q42.12.DEL	C2	0.0010886987904314507	0.00024999750002499977	0.08595988538681948	0.06666666666666667	0.6000000000000001	0.06666666666666667	0.06666666666666667	0.2	0.0057306590257879654	0.05157593123209169	0.0057306590257879654	0.0057306590257879654	0.017191977077363897	2	40	18	66	2	80	2	61	6	72	2	18	2	2	6
X1P13.1.DEL	C2	0.0012234252657473423	0.0002899971000289997	0.15759312320916907	0.10909090909090909	0.49090909090909085	0.1818181818181818	0.0909090909090909	0.12727272727272726	0.017191977077363897	0.07736389684813753	0.02865329512893983	0.014326647564469915	0.02005730659025788	6	36	27	57	10	72	5	58	7	71	6	27	10	5	7
X19Q.AMP	C2	0.0013701355523758195	0.00033999660003399966	0.16045845272206305	0.017857142857142856	0.3928571428571428	0.1964285714285714	0.07142857142857142	0.3214285714285714	0.0028653295128939827	0.06303724928366762	0.03151862464183381	0.011461318051575931	0.05157593123209169	1	41	22	62	11	71	4	59	18	60	1	23	12	4	21
X19P13.3.DEL	C2	0.001912480875191248	0.0005099949000509995	0.18624641833810887	0.07692307692307693	0.46153846153846156	0.13846153846153847	0.16923076923076924	0.15384615384615385	0.014326647564469915	0.08595988538681948	0.025787965616045846	0.03151862464183381	0.02865329512893983	5	37	30	54	9	73	11	52	10	68	5	32	10	14	10
X9Q21.13.DEL	C2	0.002159978400215998	0.0005999940000599994	0.09742120343839543	0.02941176470588235	0.5294117647058822	0.1176470588235294	0.0588235294117647	0.2647058823529411	0.0028653295128939827	0.05157593123209169	0.011461318051575931	0.0057306590257879654	0.025787965616045846	1	41	18	66	4	78	2	61	9	69	1	18	4	2	9
X13Q14.2.DEL	C2	0.0034012646886518146	0.000969990300096999	0.1031518624641834	0.027777777777777773	0.38888888888888884	0.11111111111111109	0.36111111111111105	0.11111111111111109	0.0028653295128939827	0.04011461318051576	0.011461318051575931	0.03724928366762178	0.011461318051575931	1	41	14	70	4	78	13	50	4	74	1	14	4	13	4
X9P21.3.DEL	C2	0.0049999500004999945	0.0014999850001499984	0.10601719197707736	0.0	0.43243243243243246	0.16216216216216217	0.08108108108108109	0.32432432432432434	0.0	0.045845272206303724	0.017191977077363897	0.008595988538681949	0.034383954154727794	0	42	16	68	6	76	3	60	12	66	0	16	7	3	13
X7P.AMP	C2	0.007971348857939991	0.0024799752002479976	0.27793696275071633	0.1134020618556701	0.3195876288659794	0.12371134020618557	0.25773195876288657	0.18556701030927836	0.03151862464183381	0.08882521489971347	0.034383954154727794	0.07163323782234957	0.05157593123209169	11	31	31	53	12	70	25	38	18	60	11	32	13	27	19
X13Q34.DEL	C2	0.009818083637345444	0.0031999680003199967	0.08022922636103152	0.07142857142857142	0.3928571428571428	0.03571428571428571	0.35714285714285715	0.14285714285714285	0.0057306590257879654	0.03151862464183381	0.0028653295128939827	0.02865329512893983	0.011461318051575931	2	40	11	73	1	81	10	53	4	74	2	11	1	10	4
X11P.AMP	C2	0.01028989710102899	0.0034299657003429964	0.11461318051575932	0.09999999999999999	0.425	0.125	0.27499999999999997	0.075	0.011461318051575931	0.04871060171919771	0.014326647564469915	0.03151862464183381	0.008595988538681949	4	38	17	67	5	77	11	52	3	75	5	18	5	12	3
X10Q23.31.DEL	C2	0.011510411211677356	0.004029959700402996	0.09169054441260745	0.15625000000000003	0.43750000000000006	0.09375	0.25	0.0625	0.014326647564469915	0.04011461318051576	0.008595988538681949	0.022922636103151862	0.0057306590257879654	5	37	14	70	3	79	8	55	2	76	5	16	3	8	2
X13Q.AMP	C2	0.01741207077725141	0.006319936800631994	0.11461318051575932	0.09999999999999999	0.475	0.125	0.075	0.22499999999999998	0.011461318051575931	0.054441260744985676	0.014326647564469915	0.008595988538681949	0.025787965616045846	4	38	19	65	5	77	3	60	9	69	4	19	5	3	9
X17Q25.1.DEL	C2	0.018663891030992603	0.0071199288007119926	0.09169054441260745	0.15625000000000003	0.5	0.15625000000000003	0.09375	0.09375	0.014326647564469915	0.045845272206303724	0.014326647564469915	0.008595988538681949	0.008595988538681949	5	37	16	68	5	77	3	60	3	75	5	16	5	3	3
X5P.AMP	C2	0.01985123005912798	0.007719922800771993	0.1489971346704871	0.07692307692307691	0.34615384615384615	0.34615384615384615	0.15384615384615383	0.07692307692307691	0.011461318051575931	0.05157593123209169	0.05157593123209169	0.022922636103151862	0.011461318051575931	4	38	18	66	18	64	8	55	4	74	6	21	18	8	4
X18Q21.32.AMP	C2	0.020074799252007478	0.008019919800801993	0.045845272206303724	0.0625	0.5625	0.0625	0.0	0.31250000000000006	0.0028653295128939827	0.025787965616045846	0.0028653295128939827	0.0	0.014326647564469915	1	41	9	75	1	81	0	63	5	73	1	13	1	0	7
X3P21.31.DEL	C2	0.05778384839102429	0.026109738902610972	0.13467048710601717	0.021276595744680854	0.3191489361702128	0.3191489361702128	0.21276595744680854	0.12765957446808512	0.0028653295128939827	0.04297994269340974	0.04297994269340974	0.02865329512893983	0.017191977077363897	1	41	15	69	15	67	10	53	6	72	1	15	15	10	6
X9P24.1.AMP	C2	0.05779227922006494	0.026829731702682973	0.13180515759312322	0.04347826086956521	0.43478260869565216	0.19565217391304346	0.15217391304347824	0.17391304347826084	0.0057306590257879654	0.05730659025787966	0.025787965616045846	0.02005730659025788	0.022922636103151862	2	40	20	64	9	73	7	56	8	70	2	23	12	9	8
X21Q.AMP	C2	0.05779227922006494	0.026679733202667973	0.1346704871060172	0.10638297872340426	0.425531914893617	0.1276595744680851	0.19148936170212766	0.14893617021276595	0.014326647564469915	0.05730659025787966	0.017191977077363897	0.025787965616045846	0.02005730659025788	5	37	20	64	6	76	9	54	7	71	5	25	6	10	7
X7Q22.1.AMP	C2	0.11647057442469055	0.05952940470595294	0.06303724928366762	0.13636363636363638	0.4090909090909091	0.13636363636363638	0.27272727272727276	0.045454545454545456	0.008595988538681949	0.025787965616045846	0.008595988538681949	0.017191977077363897	0.0028653295128939827	3	39	9	75	3	79	6	57	1	77	4	13	3	9	1
BRAF	C2	0.12099736145495688	0.06273937260627394	0.05157593123209169	0.2222222222222222	0.3333333333333333	0.3333333333333333	0.0	0.1111111111111111	0.011461318051575931	0.017191977077363897	0.017191977077363897	0.0	0.0057306590257879654	4	38	6	78	6	76	0	63	2	76	7	10	12	0	4
X7Q.AMP	C2	0.1319754408089722	0.06940930590694093	0.24355300859598855	0.12941176470588234	0.32941176470588235	0.1411764705882353	0.19999999999999998	0.19999999999999998	0.03151862464183381	0.08022922636103152	0.034383954154727794	0.04871060171919771	0.04871060171919771	11	31	28	56	12	70	17	46	17	61	11	31	12	17	19
X1Q.AMP	C2	0.16261285663005437	0.08719912800871991	0.24641833810888253	0.1511627906976744	0.313953488372093	0.19767441860465115	0.19767441860465115	0.13953488372093023	0.03724928366762178	0.07736389684813753	0.04871060171919771	0.04871060171919771	0.034383954154727794	13	29	27	57	17	65	17	46	12	66	14	27	17	17	12
RC3H1	C2	0.1692106366607567	0.09149908500914991	0.02865329512893983	0.0	0.5	0.0	0.3	0.19999999999999998	0.0	0.014326647564469915	0.0	0.008595988538681949	0.0057306590257879654	0	42	5	79	0	82	3	60	2	76	0	10	0	6	4
X12Q.AMP	C2	0.16939159467465728	0.0934790652093479	0.20343839541547276	0.14084507042253525	0.26760563380281693	0.15492957746478875	0.26760563380281693	0.16901408450704228	0.02865329512893983	0.054441260744985676	0.03151862464183381	0.054441260744985676	0.034383954154727794	10	32	19	65	11	71	19	44	12	66	10	19	11	19	12
X9Q.AMP	C2	0.17164628353716463	0.09535904640953591	0.10315186246418338	0.05555555555555555	0.41666666666666663	0.1388888888888889	0.1388888888888889	0.25	0.0057306590257879654	0.04297994269340974	0.014326647564469915	0.014326647564469915	0.025787965616045846	2	40	15	69	5	77	5	58	9	69	2	16	5	5	9
X19Q13.32.1.DEL	C2	0.18751577190110452	0.10625893741062589	0.04011461318051576	0.07142857142857142	0.5714285714285714	0.14285714285714285	0.14285714285714285	0.07142857142857142	0.0028653295128939827	0.022922636103151862	0.0057306590257879654	0.0057306590257879654	0.0028653295128939827	1	41	8	76	2	80	2	61	1	77	1	8	2	2	1
ZNF423	C2	0.19791673051011424	0.11361886381136188	0.042979942693409746	0.19999999999999998	0.3333333333333333	0.3333333333333333	0.1333333333333333	0.0	0.008595988538681949	0.014326647564469915	0.014326647564469915	0.0057306590257879654	0.0	3	39	5	79	5	77	2	61	0	78	4	8	9	3	0
IRF4	C2	0.22148216017839825	0.13124868751312488	0.10028653295128939	0.05714285714285715	0.3714285714285715	0.1142857142857143	0.17142857142857143	0.28571428571428575	0.0057306590257879654	0.03724928366762178	0.011461318051575931	0.017191977077363897	0.02865329512893983	2	40	13	71	4	78	6	57	10	68	2	24	7	11	18
X13Q31.3.AMP	C2	0.2475249637747525	0.15034849651503485	0.0659025787965616	0.1739130434782609	0.3043478260869566	0.2173913043478261	0.26086956521739135	0.04347826086956522	0.011461318051575931	0.02005730659025788	0.014326647564469915	0.017191977077363897	0.0028653295128939827	4	38	7	77	5	77	6	57	1	77	4	11	6	7	1
FCGBP	C2	0.24930835028999107	0.15327846721532784	0.15472779369627507	0.037037037037037035	0.33333333333333337	0.2037037037037037	0.1851851851851852	0.24074074074074076	0.0057306590257879654	0.05157593123209169	0.03151862464183381	0.02865329512893983	0.03724928366762178	2	40	18	66	11	71	10	53	13	65	2	29	18	15	23
X1Q23.3.AMP	C2	0.2656198290088105	0.16625833741662582	0.07449856733524356	0.03846153846153846	0.38461538461538464	0.19230769230769232	0.07692307692307691	0.30769230769230765	0.0028653295128939827	0.02865329512893983	0.014326647564469915	0.0057306590257879654	0.022922636103151862	1	41	10	74	5	77	2	61	8	70	1	13	6	3	8
X17Q24.3.AMP	C2	0.2885268290174241	0.18625813741862582	0.08022922636103152	0.03571428571428571	0.42857142857142855	0.17857142857142858	0.17857142857142858	0.17857142857142858	0.0028653295128939827	0.034383954154727794	0.014326647564469915	0.014326647564469915	0.014326647564469915	1	41	12	72	5	77	5	58	5	73	1	12	5	5	6
