	q	p	Shipp_wt	Shipp_mt	Staudt_wt	Staudt_mt	q_os	p_os	Shipp_os_wt	Shipp_os_mt	Staudt_os_wt	Staudt_os_mt	q_pfs	p_pfs	Shipp_pfs_wt	Shipp_pfs_mt	Staudt_pfs_wt	Staudt_pfs_mt	q_pfs_ipi	p_pfs_ipi	Shipp_pfs_ipi_wt	Shipp_pfs_ipi_mt	Staudt_pfs_ipi_wt	Staudt_pfs_ipi_mt	q_test_train	p_test_train	Train_wt	Train_mt	Test_wt	Test_mt
ACTB	1.0	0.6521958003905857	29	10	41	19	0.877353216634858	0.4372243347809073	24	9	21	13	1.0	1.0	6	3	10	5	1.0	1.0	6	3	8	5	1.0	1.0	53	4	17	1
KLHL6	1.0	0.6521958003905857	29	10	41	19	0.8843772899462279	0.5895848599641519	25	8	23	11	1.0	1.0	6	3	9	6	1.0	0.6739938080495356	6	3	7	6	1.0	1.0	52	1	18	0
IPI_Low_01	1.0	0.6780595278626815	23	16	38	22	1.0	1.0	18	15	18	16	1.0	0.6570197873199625	7	2	9	6	1.0	0.38018575851393177	7	2	7	6	1.0	0.16769926836147173	48	25	13	13
CD83	1.0	0.8140744453684996	29	10	46	14	0.877353216634858	0.42511422870674337	25	8	22	12	0.8041397961306429	0.022337216559184525	9	0	8	7	0.6003377427526034	0.016676048409794537	9	0	6	7	1.0	1.0	57	2	18	1
HIST1H1B	1.0	0.8140744453684996	30	9	44	16	1.0	1.0	25	8	25	9	1.0	0.09943831911795292	4	5	12	3	1.0	0.07430340557275539	4	5	11	2	1.0	0.5533834586466165	52	3	22	0
LTB	1.0	0.8208489071246089	29	10	43	17	0.877353216634858	0.4469001651807863	23	10	20	14	1.0	0.3890664961636827	7	2	8	7	1.0	0.6478328173374613	7	2	8	5	1.0	1.0	50	2	22	1
SGK1	1.0	0.8402133811643941	21	18	31	29	0.3524895627307447	0.048956883712603434	18	15	10	24	1.0	0.6751749899044285	5	4	6	9	1.0	0.6656346749226006	5	4	5	8	1.0	0.5624166190203926	40	2	12	1
PTPN6	1.0	0.9999999999999999	32	7	49	11	0.877353216634858	0.5117893763703338	29	4	27	7	1.0	1.0	7	2	12	3	1.0	0.9999999999999999	7	2	11	2	1.0	1.0	59	0	22	0
COO_UNC	1.0	1.0	26	7	46	14	0.9491901073858766	0.7382589724112374	22	5	29	5	1.0	1.0	6	1	12	3	1.0	1.0	6	1	11	2	1.0	0.5737156285466064	52	17	20	4
ZFP36L1	1.0	1.0	28	11	42	18	1.0	1.0	23	10	23	11	1.0	0.6146245059288539	7	2	13	2	1.0	0.9999999999999999	7	2	11	2	1.0	0.9999999999999999	51	3	19	1
METAP1D	1.0	1.0	38	1	59	1	0.877353216634858	0.4925373134328358	32	1	34	0	1.0	1.0	9	0	15	0	1.0	1.0	9	0	13	0	1.0	1.0	71	0	26	0
HIST1H2AC	1.0	1.0	31	8	47	13	0.9498544977659646	0.7651605676448049	27	6	26	8	1.0	0.32559288537549397	6	3	13	2	1.0	0.6090225563909775	6	3	11	2	1.0	0.17074487384826773	54	10	24	1
KRAS	1.0	1.0	34	5	53	7	1.0	1.0	28	5	28	6	1.0	0.9999999999999999	8	1	14	1	1.0	1.0	8	1	12	1	1.0	1.0	65	0	22	0
YY1	1.0	1.0	34	5	52	8	0.9491901073858766	0.7337032962020001	28	5	30	4	1.0	0.9999999999999999	8	1	14	1	1.0	1.0	8	1	12	1	1.0	0.2758620689655173	63	0	23	1
RAC2	1.0	1.0	36	3	55	5	1.0	1.0	30	3	30	4	1.0	1.0	9	0	14	1	1.0	1.0	9	0	12	1	1.0	1.0	67	0	24	0
SV.MYC_SV.BCL2	1.0	1.0	39	0	59	1	1.0	1.0	33	0	33	1	1.0	1.0	9	0	14	1	1.0	1.0	9	0	12	1	1.0	1.0	72	1	26	0
HIST1H1E	1.0	1.0	20	19	30	30	0.9040991057025617	0.6278466011823345	17	16	15	19	1.0	0.6784560506124648	3	6	7	8	1.0	1.0	3	6	5	8	0.6487658287412942	0.05406381906177451	40	3	10	4
