	q	p	Shipp_wt	Shipp_mt	Staudt_wt	Staudt_mt	q_os	p_os	Shipp_os_wt	Shipp_os_mt	Staudt_os_wt	Staudt_os_mt	q_pfs	p_pfs	Shipp_pfs_wt	Shipp_pfs_mt	Staudt_pfs_wt	Staudt_pfs_mt	q_pfs_ipi	p_pfs_ipi	Shipp_pfs_ipi_wt	Shipp_pfs_ipi_mt	Staudt_pfs_ipi_wt	Staudt_pfs_ipi_mt	q_test_train	p_test_train	Train_wt	Train_mt	Test_wt	Test_mt
FAS	0.795647093118823	0.24946264694666392	32	11	80	16	1.0	0.3956344817831463	24	9	34	7	1.0	0.6743691091517178	7	3	14	4	1.0	1.0	7	3	11	4	1.0	1.0	94	0	18	0
TNFAIP3	0.795647093118823	0.25125697677436515	31	12	58	38	1.0	1.0	23	10	28	13	1.0	0.9999999999999999	8	2	13	5	1.0	1.0	8	2	11	4	1.0	1.0	78	0	11	0
X5Q.AMP	0.7984002134252202	0.2814574659517142	30	13	76	20	1.0	0.311691795287011	21	12	31	10	1.0	0.9999999999999999	7	3	12	6	1.0	0.6913178085879661	7	3	9	6	1.0	0.06589658274925943	92	24	14	9
ZEB2	0.7984002134252202	0.3054173524237766	39	4	80	16	1.0	0.20583875795600978	30	3	32	9	1.0	0.5329670329670332	10	0	15	3	1.0	0.5000000000000001	10	0	13	2	1.0	0.43554396423248887	99	2	20	1
RHOA	0.7984002134252202	0.31515797898363956	38	5	90	6	1.0	1.0	31	2	38	3	1.0	1.0	9	1	17	1	1.0	1.0	9	1	14	1	1.0	1.0	106	1	22	0
MYD88.OTHER	0.8127553553618294	0.35728364942163365	33	10	80	16	1.0	0.7857983037640289	24	9	32	9	1.0	0.6743691091517178	7	3	14	4	1.0	0.6531620553359685	7	3	12	3	1.0	1.0	94	0	19	0
IKZF3	0.8127553553618294	0.3636010800302921	37	6	88	8	1.0	0.1654039999592768	29	4	40	1	1.0	0.35714285714285715	9	1	18	0	1.0	0.39999999999999986	9	1	15	0	1.0	1.0	104	1	21	0
GNAI2	0.8236597274901061	0.3901546077584713	40	3	83	13	1.0	0.45057355923985126	31	2	36	5	1.0	1.0	9	1	16	2	1.0	1.0	9	1	14	1	1.0	1.0	101	0	22	0
SMG7	0.869350896476052	0.434675448238026	42	1	89	7	1.0	1.0	32	1	39	2	1.0	1.0	10	0	18	0	1.0	1.0	10	0	15	0	1.0	1.0000000000000002	108	1	23	0
TMEM30A	0.9304587897092423	0.4897151524785486	33	10	79	17	1.0	0.7951870144756708	24	9	31	10	1.0	1.0	8	2	14	4	1.0	1.0	8	2	12	3	1.0	1.0	95	0	17	0
NFKBIE	0.9940915836173763	0.5493664014727606	40	3	85	11	1.0	1.0	31	2	38	3	1.0	0.35714285714285715	9	1	18	0	1.0	0.39999999999999986	9	1	15	0	1.0	1.0	104	1	21	0
BCL6	1.0	0.6095681426262739	38	5	80	16	1.0	0.32601800626813926	30	3	33	8	1.0	0.6014652014652015	8	2	16	2	1.0	0.9999999999999999	8	2	13	2	1.0	1.0	96	0	22	0
IPI_IntermediateLow_2	1.0	0.6095681426262739	38	5	80	16	1.0	0.1254525446954679	30	3	31	10	0.7946353163744475	0.06187290969899667	10	0	12	6	0.9529644268774694	0.05079051383399207	10	0	9	6	1.0	1.0	98	18	20	3
EBF1	1.0	0.6562764256483409	33	10	77	19	1.0	1.0	25	8	32	9	1.0	0.6743691091517178	7	3	14	4	1.0	0.6531620553359685	7	3	12	3	1.0	0.2664092664092663	95	1	15	1
BCL10	1.0	0.6809667168443674	33	10	70	26	1.0	0.7931181964400714	25	8	29	12	1.0	0.6263736263736264	9	1	14	4	1.0	0.6146245059288538	9	1	11	4	1.0	1.0	87	0	16	0
DTX1	1.0	0.7026136755200636	29	14	60	36	1.0	0.343774070908026	23	10	24	17	1.0	0.6945842868039663	6	4	8	10	1.0	1.0	6	4	8	7	1.0	1.0	74	5	15	1
POU2F2	1.0	0.7541998553487785	40	3	86	10	1.0	1.0	31	2	38	3	1.0	1.0	9	1	16	2	1.0	1.0	9	1	13	2	1.0	1.0	104	0	22	0
BCL7A	1.0	0.8043825673238544	37	6	80	16	1.0	0.9999999999999999	28	5	35	6	1.0	0.26520146520146526	10	0	14	4	1.0	0.1245059288537549	10	0	11	4	1.0	1.0	97	5	20	1
UBE2A	1.0	0.8219613621222905	35	8	75	21	1.0	0.593310415840579	26	7	29	12	1.0	0.3745819397993311	9	1	13	5	1.0	0.34486166007905134	9	1	10	5	1.0	1.0	94	0	16	0
NOTCH2	1.0	0.8385648613761155	32	11	69	27	1.0	1.0	23	10	29	12	1.0	0.41696564305259953	8	2	11	7	1.0	0.4017890576242977	8	2	9	6	1.0	1.0	82	0	19	0
SPEN	1.0	0.9999999999999999	34	9	75	21	1.0	0.7774790071153468	25	8	33	8	1.0	1.0	8	2	14	4	1.0	1.0	8	2	12	3	1.0	0.24628016465464075	89	3	20	2
CD58	1.0	0.9999999999999999	35	8	77	19	1.0	0.374961272288718	25	8	35	6	1.0	0.6344959388437649	7	3	15	3	1.0	0.6531620553359685	7	3	12	3	1.0	1.0	91	0	21	0
FADD	1.0	1.0	40	3	90	6	1.0	1.0	30	3	37	4	1.0	1.0	9	1	16	2	1.0	1.0	9	1	14	1	1.0	1.0	107	0	23	0
CXCR4	1.0	1.0	41	2	90	6	1.0	0.9999999999999999	32	1	40	1	1.0	0.35714285714285715	9	1	18	0	1.0	0.39999999999999986	9	1	15	0	1.0	1.0	109	0	22	0
CD70	1.0	1.0	29	14	63	33	1.0	0.34178624874919505	22	11	22	19	1.0	0.2473997398482522	8	2	10	8	1.0	0.2289626647413696	8	2	8	7	1.0	1.0	78	0	14	0
COO_GCB	1.0	1.0	30	7	78	18	1.0	0.7490488419177466	25	4	33	8	1.0	0.9999999999999999	8	1	16	2	1.0	0.9999999999999999	8	1	14	1	1.0	0.546398763130757	92	20	16	5
SV.MYC_SV.BCL2	1.0	1.0	43	0	96	0	1.0	1.0	33	0	41	0	1.0	1.0	10	0	18	0	1.0	1.0	10	0	15	0	1.0	1.0	116	0	23	0
TUBGCP5	1.0	1.0	39	4	85	11	1.0	1.0	30	3	37	4	1.0	0.6263736263736264	9	1	14	4	1.0	0.626482213438735	9	1	12	3	1.0	1.0	103	4	21	1
