	q	p	Shipp_wt	Shipp_mt	Staudt_wt	Staudt_mt	q_os	p_os	Shipp_os_wt	Shipp_os_mt	Staudt_os_wt	Staudt_os_mt	q_pfs	p_pfs	Shipp_pfs_wt	Shipp_pfs_mt	Staudt_pfs_wt	Staudt_pfs_mt	q_pfs_ipi	p_pfs_ipi	Shipp_pfs_ipi_wt	Shipp_pfs_ipi_mt	Staudt_pfs_ipi_wt	Staudt_pfs_ipi_mt	q_test_train	p_test_train	Train_wt	Train_mt	Test_wt	Test_mt
KMT2D	0.7068382130868719	0.46216344701833934	27	28	26	36	1.0	0.5341212356128701	24	23	19	24	1.0	0.4997920394641387	9	12	8	6	1.0	0.4577936838032597	9	12	6	4	0.7443748037190874	0.11269841269841269	43	1	10	2
HVCN1	0.8230756311132621	0.5698215907707199	47	8	56	6	1.0	0.5561455675252965	39	8	38	5	1.0	1.0	19	2	13	1	1.0	0.9999999999999999	19	2	10	0	1.0	1.0	83	0	20	0
EEF1A1	0.9794917935225793	0.7210028182449518	52	3	57	5	1.0	1.0	44	3	41	2	1.0	1.0	20	1	13	1	1.0	1.0	20	1	10	0	1.0	1.0	87	0	22	0
COO_UNC	0.9794917935225793	0.7576001492114418	41	4	55	7	1.0	1.0	35	3	40	3	1.0	1.0	17	2	13	1	1.0	1.0	17	2	9	1	1.0	0.6883312699380546	76	10	20	1
IRF8	0.9794917935225793	0.8202756874732999	43	12	50	12	1.0	0.4588553268392523	35	12	35	8	1.0	0.7115127919911011	15	6	11	3	1.0	1.0	15	6	7	3	1.0	1.0	77	3	16	0
GNA13	0.9794917935225793	0.8288007483652594	41	14	48	14	1.0	0.8141978602448078	33	14	32	11	1.0	1.0	16	5	10	4	1.0	1.0	16	5	7	3	1.0	1.0	75	0	14	0
MAP2K1	1.0	0.9999999999999999	49	6	56	6	1.0	0.6785984373672683	43	4	41	2	1.0	1.0	19	2	13	1	1.0	0.9999999999999999	19	2	9	1	1.0	1.0	85	1	20	0
POU2AF1	1.0	1.0	51	4	58	4	1.0	1.0	43	4	40	3	1.0	0.5508021390374332	20	1	12	2	1.0	0.2369299221357063	20	1	8	2	1.0	1.0	90	1	19	0
MEF2C	1.0	1.0	52	3	58	4	1.0	1.0	44	3	41	2	1.0	1.0	20	1	13	1	1.0	1.0	20	1	10	0	1.0	1.0	90	1	20	0
PLOIDY	1.0	1.0	52	3	58	4	1.0	1.0	44	3	40	3	1.0	0.9999999999999999	20	1	14	0	1.0	1.0	20	1	10	0	0.06544733493095596	0.0025172051896521523	93	2	17	5
