	individual
DLBCL_C_D_1105_NULLPAIR	0
DLBCL_C_D_1104_NULLPAIR	0
DFCIDL008_DT	0
DLBCL_RICOVER_1204	0
DLBCL_RICOVER_314	0
DLBCL_MC_F927_JHS	0
DLBCL_RICOVER_1032	0
DLBCL_RICOVER_431	0
DLBCL_RICOVER_224	0
DLBCL_RICOVER_221	0
DLBCL_RICOVER_173	0
DLBCL_RICOVER_1329	0
DLBCL_RICOVER_1299	0
DLBCL_RICOVER_1287	0
DLBCL_RICOVER_1257	0
DLBCL_RICOVER_1237	0
DLBCL_RICOVER_1192	0
DLBCL_C_D_PAIR2	0
DLBCL_C_D_PAIR20	0
DLBCL_C_D_PAIR22	0
DLBCL_C_D_PAIR23	0
DLBCL_C_D_PAIR5	0
DLBCL_C_D_PAIR9	0
