update:pair_id	purity
DLBCL10861	0.09
DLBCL10862	0.58
DLBCL10863	0.78
DLBCL10864	0.56
DLBCL10865	0.49
DLBCL10866	0.75
DLBCL10867	0.7
DLBCL10868	0.73
DLBCL10869	0.68
DLBCL10870	0.76
DLBCL10871	0.44
DLBCL10873	0.54
DLBCL10874	0.28
DLBCL10875	0.67
DLBCL10876	0.75
DLBCL10877	0.7
DLBCL10878	0.66
DLBCL10879	0.29
DLBCL10880	0.39
DLBCL10881	0.83
DLBCL10883	0.66
DLBCL10884	0.74
DLBCL10885	0.41
DLBCL10887	0.64
DLBCL10888	0.62
DLBCL10889	0.51
DLBCL10890	0.77
DLBCL10891	0.37
DLBCL10892	0.15
DLBCL10893	0.74
DLBCL10894	0.27
DLBCL10895	0.49
DLBCL10896	0.33
DLBCL10897	0.71
DLBCL10898	0.36
DLBCL10899	0.42
DLBCL10900	0.78
DLBCL10901	0.76
DLBCL10902	0.83
DLBCL10903	0.76
DLBCL10904	0.21
DLBCL10905	0.16
DLBCL10906	0.52
DLBCL10907	0.82
DLBCL10908	0.34
DLBCL10909	0.57
DLBCL10910	0.8
DLBCL10911	0.66
DLBCL10912	0.79
DLBCL10913	0.7
DLBCL10914	0.89
DLBCL10915	0.53
DLBCL10916	0.85
DLBCL10917	0.49
DLBCL10918	0.71
DLBCL10919	0.85
DLBCL10920	0.12
DLBCL10921	0.7
DLBCL10922	0.7
DLBCL10923	0.18
DLBCL10924	0.71
DLBCL10925	0.65
DLBCL10926	0.33
DLBCL10927	0.44
DLBCL10928	0.82
DLBCL10930	0.59
DLBCL10931	0.52
DLBCL10932	0.42
DLBCL10933	0.54
DLBCL10934	0.85
DLBCL10935	0.64
DLBCL10936	0.5
DLBCL10938	0.83
DLBCL10939	0.25
DLBCL10940	0.17
DLBCL10941	0.13
DLBCL10942	0.33
DLBCL10943	0.77
DLBCL10945	0.69
DLBCL10946	0.15
DLBCL10947	0.5
DLBCL10948	0.36
DLBCL10950	0.65
DLBCL10951	0.68
DLBCL10952	0.18
DLBCL10953	0.55
DLBCL10954	0.85
DLBCL10955	0.26
DLBCL10956	0.78
DLBCL10957	0.24
DLBCL10958	0.08
DLBCL10959	0.92
DLBCL10960	0.12
DLBCL10961	0.79
DLBCL10962	0.53
DLBCL10963	0.54
DLBCL10964	0.69
DLBCL10965	0.44
DLBCL10966	0.63
DLBCL10967	0.33
DLBCL10968	0.42
DLBCL10969	0.75
DLBCL10970	0.78
DLBCL10971	0.23
DLBCL10972	0.73
DLBCL10973	0.29
DLBCL10974	0.41
DLBCL10975	0.73
DLBCL10977	0.41
DLBCL10978	0.72
DLBCL10979	0.13
DLBCL10980	0.54
DLBCL10981	0.61
DLBCL10982	0.19
DLBCL10983	0.61
DLBCL10984	0.26
DLBCL10985	0.5
DLBCL10986	0.85
DLBCL10987	0.78
DLBCL10988	0.44
DLBCL10989	0.51
DLBCL10990	0.85
DLBCL10991	0.11
DLBCL10992	0.63
DLBCL10993	0.72
DLBCL10994	0.62
DLBCL10995	0.36
DLBCL10996	0.55
DLBCL10997	0.7
DLBCL10998	0.52
DLBCL10999	0.83
DLBCL11000	0.52
DLBCL11001	0.25
DLBCL11002	0.27
DLBCL11003	0.62
DLBCL11004	0.53
DLBCL11005	0.61
DLBCL11180	0.69
DLBCL11181	0.1
DLBCL11182	0.61
DLBCL11187	0.82
DLBCL11188	0.75
DLBCL11191	0.73
DLBCL11193	0.68
DLBCL11194	0.79
DLBCL11195	0.5
DLBCL11196	0.38
DLBCL11202	0.29
DLBCL11203	0.49
DLBCL11204	0.69
DLBCL11205	0.48
DLBCL11206	0.64
DLBCL11208	0.09
DLBCL11242	0.55
DLBCL11271	0.1
DLBCL11346	0.78
DLBCL11353	0.87
DLBCL11428	0.69
DLBCL11429	0.47
DLBCL11430	0.44
DLBCL11431	0.57
DLBCL11432	0.58
DLBCL11433	0.49
DLBCL11434	0.58
DLBCL11435	0.6
DLBCL11436	0.38
DLBCL11437	0.24
DLBCL11438	0.56
DLBCL11439	0.5
DLBCL11440	0.76
DLBCL11441	0.62
DLBCL11443	0.64
DLBCL11445	0.54
DLBCL11446	0.36
DLBCL11447	0.5
DLBCL11448	0.21
DLBCL11449	0.81
DLBCL11450	0.58
DLBCL11451	0.54
DLBCL11452	0.24
DLBCL11453	0.65
DLBCL11454	0.33
DLBCL11455	0.62
DLBCL11456	0.47
DLBCL11457	0.57
DLBCL11458	0.57
DLBCL11459	0.65
DLBCL11460	0.49
DLBCL11461	0.4
DLBCL11462	0.68
DLBCL11463	0.16
DLBCL11464	0.58
DLBCL11466	0.32
DLBCL11467	0.44
DLBCL11468	0.51
DLBCL11469	0.24
DLBCL11470	0.66
DLBCL11471	0.57
DLBCL11472	0.49
DLBCL11473	0.32
DLBCL11474	0.8
DLBCL11475	0.36
DLBCL11476	0.74
DLBCL11477	0.69
DLBCL11478	0.3
DLBCL11479	0.2
DLBCL11480	0.32
DLBCL11481	0.26
DLBCL11482	0.81
DLBCL11483	0.33
DLBCL11484	0.3
DLBCL11485	0.35
DLBCL11486	0.67
DLBCL11488	0.72
DLBCL11491	0.37
DLBCL11493	0.76
DLBCL11495	0.5
DLBCL11496	0.53
DLBCL11498	0.82
DLBCL11500	0.88
DLBCL11501	0.84
DLBCL11503	0.39
DLBCL11504	0.53
DLBCL11506	0.51
DLBCL11507	0.69
DLBCL11508	0.37
DLBCL11509	0.57
DLBCL11510	0.34
DLBCL11511	0.31
DLBCL11512	0.77
DLBCL11513	0.78
DLBCL11514	0.47
DLBCL11515	0.64
DLBCL11516	0.78
DLBCL11518	0.41
DLBCL11519	0.76
DLBCL11520	0.39
DLBCL11523	0.8
DLBCL11525	0.33
DLBCL11526	0.45
DLBCL11527	0.68
DLBCL11528	0.7
DLBCL11530	0.67
DLBCL11531	0.67
DLBCL11532	0.56
DLBCL11533	0.72
DLBCL11534	0.41
DLBCL11535	0.41
DLBCL11536	0.34
DLBCL11537	0.5
DLBCL11538	0.21
DLBCL11539	0.41
DLBCL11540	0.6
DLBCL11541	0.7
DLBCL11542	0.36
DLBCL11558	0.75
DLBCL11559	0.5
DLBCL11560	0.4
DLBCL11562	0.68
DLBCL11563	0.22
DLBCL11564	0.56
DLBCL11565	0.57
DLBCL11566	0.81
DLBCL11569	0.76
DLBCL11570	0.18
DLBCL11571	0.46
DLBCL11572	0.59
DLBCL11573	0.64
DLBCL11574	0.34
DLBCL11575	0.7
DLBCL11576	0.69
DLBCL11577	0.8
DLBCL11578	0.8
DLBCL11579	0.43
DLBCL11581	0.4
DLBCL11584	0.78
DLBCL11585	0.72
DLBCL11586	0.82
DLBCL11587	0.15
DLBCL11590	0.63
DLBCL11591	0.39
DLBCL11595	0.6
DLBCL11651	0.43
DLBCL11652	0.44
DLBCL11655	0.48
DLBCL11656	0.31
DLBCL11657	0.47
DLBCL11658	0.32
DLBCL11659	0.74
DLBCL11660	0.55
DLBCL11661	0.56
DLBCL11662	0.63
DLBCL11663	0.52
DLBCL11664	0.76
DLBCL11665	0.68
DLBCL11666	0.34
DLBCL11667	0.74
DLBCL11669	0.4
DLBCL11670	0.34
DLBCL11671	0.64
DLBCL11672	0.74
DLBCL11673	0.46
DLBCL11675	0.61
DLBCL11676	0.3
DLBCL11677	0.23
DLBCL11678	0.32
DLBCL11679	0.3
DLBCL11680	0.68
DLBCL11681	0.4
DLBCL11683	0.72
DLBCL11684	0.78
DLBCL11685	0.73
